科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"140,263,500.95","180,448,621.31","216,582,459.76","94,062,706.89","256,049,507.15","51,054,491.67","124,469,068.45","194,347,891.74","371,705,821.19","133,273,389.34","255,510,458.39","383,766,188.88","691,599,070.03","127,874,809.20","275,827,856.34","511,023,250.43"
取得子公司及其他营业单位支付的现金净额,"20,000,000.00",,,,,,,,"23,117,159.49","2,864,360.00","3,364,360.00","17,615,395.01","12,515,395.01","10,000.00",,"21,998,900.00"
收到的税费返还,"1,403,605.76","1,271,957.54","197,743.61",,,,,,"159,596.87","13,893.19","27,881.38",,,,,
支付其他与投资活动有关的现金,,,,,,,,"2,500,000.00",,,,,"9,986,452.00","70,207.90","983,419.05","6,136,299.56"
收到其他与经营活动有关的现金,"10,174,049.06","16,489,869.70","13,455,688.08","4,546,475.03","18,966,342.87","2,242,981.04","8,999,875.87","11,706,794.51","27,604,055.50","422,357.29","1,111,832.40","23,284,084.02","50,728,155.37","4,854,369.62","14,194,402.22","30,310,214.18"
投资活动现金流出小计,"69,716,485.97","48,191,670.60","25,324,784.76","13,461,778.87","141,810,152.59","21,743,769.74","28,553,357.56","46,069,969.46","240,500,715.40","24,692,272.00","103,709,757.65","156,323,098.63","849,107,355.17","43,404,958.81","410,796,510.61","686,375,943.33"
经营活动现金流入小计,"151,841,155.77","198,210,448.55","230,235,891.45","98,609,181.92","275,015,850.02","53,297,472.71","133,468,944.32","206,054,686.25","399,469,473.56","133,709,639.82","256,650,172.17","407,050,272.90","742,327,225.40","132,729,178.82","290,022,258.56","541,333,464.61"
投资活动产生的现金流量净额,"-68,216,485.97","-48,166,280.60","-25,324,784.76","-12,381,603.50","-140,729,977.22","-21,743,769.74","-25,542,729.61","-43,029,341.51","-198,860,087.45","-24,692,272.00","-103,709,757.65","-154,523,098.63","-847,307,355.17","-43,404,958.81","-410,796,510.61","-685,377,576.33"
购买商品、接受劳务支付的现金,"48,150,707.16","47,171,189.80","69,310,470.85","41,395,429.53","99,216,574.05","20,828,182.17","47,717,054.92","79,334,942.42","163,094,999.26","38,800,654.53","78,286,946.25","142,235,958.00","211,397,268.17","88,019,333.27","96,092,649.56","163,076,961.11"
吸收投资收到的现金,,,,,,"179,300,000.00","179,300,000.00","182,300,000.00","182,300,000.00",,"86,965,660.00","2,072,669,656.22","2,069,501,841.05",,"-4,702,358.64","-10,665,646.19"
支付给职工以及为职工支付的现金,"44,189,949.35","62,454,250.07","70,343,411.44","42,232,734.50","87,206,564.03","32,987,996.37","55,878,186.28","84,360,829.45","111,429,279.08","36,452,630.37","69,726,946.95","114,038,962.66","161,583,352.44","60,052,486.58","109,417,684.50","151,263,631.77"
取得借款收到的现金,,"24,300,000.00",,"50,000,000.00","55,000,000.00",,,,"248,839,900.00",,,,,,,"480,000,000.00"
支付的各项税费,"9,480,736.39","15,418,101.66","16,133,074.98","16,427,416.13","18,778,218.10","12,995,429.82","17,644,755.22","22,930,074.18","28,414,426.37","12,708,073.72","19,056,094.91","32,038,910.93","43,870,334.52","18,026,251.25","29,943,392.15","45,227,819.68"
收到其他与筹资活动有关的现金,,"14,000,000.00",,,,,,,,,,"162,000,000.00","162,000,000.00",,,"1,448,361.92"
支付其他与经营活动有关的现金,"14,881,028.95","15,881,917.54","25,737,639.26","11,941,464.05","31,488,540.76","5,866,197.39","21,693,004.18","36,048,899.43","60,425,311.16","27,802,182.84","57,938,139.19","87,119,873.28","125,451,404.59","24,330,994.64","54,107,185.72","80,311,351.16"
筹资活动现金流入小计,,"38,300,000.00",,"50,000,000.00","55,000,000.00","179,300,000.00","179,300,000.00","182,300,000.00","431,139,900.00",,"86,965,660.00","2,234,669,656.22","2,231,501,841.05",,"-4,702,358.64","470,782,715.73"
经营活动现金流出小计,"116,702,421.85","140,925,459.07","181,524,596.53","111,997,044.21","236,689,896.94","72,677,805.75","142,933,000.60","222,674,745.48","363,364,015.87","115,763,541.46","225,008,127.30","375,433,704.87","542,302,359.72","190,429,065.74","289,560,911.93","439,879,763.72"
