科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"73,200,504.86","75,326,422.91","75,998,406.40","51,416,655.83","35,311,995.05","128,929,938.28","119,946,112.11","105,776,040.62","61,799,529.78"
短期借款,,,"7,260,184.30",,,,,"20,000,000.00","24,200,000.00"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"2,912,500.00",,"4,912,500.00","19,000,000.00","20,000,000.00","17,939,556.00","18,567,056.00","3,975,043.00","319,600.00"
应付票据,"1,854,113.50","27,017,172.19","4,619,419.00","6,700,543.90","1,956,975.86","3,216,421.50","3,697,211.60","4,634,705.00","3,308,781.00"
应收账款,"59,273,804.09","103,955,639.43","121,153,229.77","155,071,459.44","180,135,041.90","145,841,686.43","168,323,982.08","203,358,449.90","244,508,432.08"
应付账款,"23,408,209.88","43,954,278.27","59,921,711.83","62,945,442.91","71,376,437.64","67,805,152.67","53,525,217.31","56,167,585.22","76,090,053.38"
预付款项,"25,200.00","8,355,593.37","550,191.57","2,540,258.31","1,192,426.23","2,496,712.35","3,194,728.36","6,747,873.21","12,126,075.47"
预收款项,"1,984,977.79","1,480,690.01","9,533,005.72","5,419,323.91","5,388,244.92","7,699,513.26","8,855,883.78","7,000,807.89","21,565,296.72"
其他应收款,"5,014,347.34","7,385,769.71","12,146,963.92","11,447,323.44","10,591,355.42","19,211,164.12","11,357,016.14","13,384,651.46","14,813,196.31"
应付职工薪酬,"5,964,715.37","7,421,772.09","10,726,958.34","6,224,022.66","6,042,002.56","13,229,159.95","8,874,799.18","8,197,292.59","8,256,777.01"
应收关联公司款,,,,,,,,,
应交税费,"358,375.02","6,834,934.79","7,661,781.84","9,469,261.51","4,837,181.95","6,600,897.76","3,746,146.75","3,565,782.55","5,215,542.60"
应收利息,,,,,,,,,
应付利息,"17,228.20","55,666.88","114,534.53","103,473.55","86,963.71",,,"23,835.62",
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"3,858,495.21","17,154,903.26","117,292.35","78,900.00","147,050.00","301,568.39","267,619.69","267,619.69","253,803.99"
其他应付款,"3,142,163.42","2,328,170.33","2,831,262.02","4,958,276.05","337,077.23","3,553,157.15","2,649,175.65","4,527,921.37","2,573,795.25"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,"86,197.95","3,566.67",,,,,,
一年内到期的非流动负债,,"2,323,047.45","15,000,000.00","15,000,000.00","15,000,000.00",,,,
其他流动资产,"2,976,233.46","510,733.87","30,955,450.67","11,167,926.00","10,879,452.31","98,161,399.60","71,208,874.89","88,251,464.43","129,132,010.69"
其他流动负债,,,,,,,,,
流动资产合计,"147,261,084.96","212,775,260.50","245,837,601.35","250,722,523.02","258,257,320.91","412,882,025.17","392,865,389.27","421,761,142.31","462,952,648.32"
流动负债合计,"36,729,783.18","91,415,732.01","117,668,857.58","110,820,344.49","105,024,883.87","102,104,302.29","81,348,434.27","104,117,930.24","141,210,245.96"
可供出售金融资产,,,,,,,,,
长期借款,"9,168,000.00","30,683,989.61","41,282,370.00","47,694,370.00","46,694,370.00",,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,"48,195,629.39","53,056,897.11"
预计负债,"189,870.12","592,907.86","373,393.60","453,004.15","421,082.17","559,235.05","559,235.05","559,235.05","559,235.05"
固定资产,"1,818,164.60","4,115,561.79","4,871,662.21","4,409,854.46","4,566,111.64","6,795,504.68","161,981,360.48","111,899,042.52","111,983,415.13"
递延所得税负债,,,,,,,,,
在建工程,"10,804,076.82","63,506,261.42","119,128,958.24","133,365,241.15","136,099,377.88","155,570,537.30",,,
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"14,524,536.79","33,860,230.79","41,655,763.60","48,147,374.15","47,115,452.17","559,235.05","559,235.05","559,235.05","559,235.05"
固定资产清理,,,,,,,,,
