科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"427,973,296.67","508,840,943.67","538,954,741.08","198,180,304.90","307,354,646.38","401,240,116.32","86,360,409.50","215,241,974.83","337,091,545.24","491,940,785.14","144,424,100.23","304,241,246.10"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,"6,680,682.62","3,713,060.59",,,,,"852,819.74","2,413,366.62","3,200,844.38",,"3,605,845.37"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,888,733.83","2,142,344.41","2,642,030.70","530,556.44","4,068,840.61","5,096,958.39","41,000.00","716,133.06","4,299,611.49","1,505,601.23","599,625.29","2,264,647.04"
投资活动现金流出小计,"54,430,052.31","19,894,753.93","8,151,364.50","2,727,537.48","5,748,947.18","8,476,621.72","28,197,593.86","140,872,021.66","254,299,932.66","351,325,044.80","67,667,154.24","113,694,654.93"
经营活动现金流入小计,"433,862,030.50","517,663,970.70","545,309,832.37","198,710,861.34","311,423,486.99","406,337,074.71","86,401,409.50","216,810,927.63","343,804,523.35","496,647,230.75","145,023,725.52","310,111,738.51"
投资活动产生的现金流量净额,"-54,386,715.87","-19,886,086.49","-8,143,647.43","-2,697,130.38","-5,564,693.92","-8,292,368.46","-28,197,593.86","-140,865,939.56","-144,293,850.56","-178,883,273.37","33,631,232.03","68,299,277.84"
购买商品、接受劳务支付的现金,"327,081,084.26","346,850,374.00","382,931,889.82","203,315,183.34","283,492,505.38","368,525,820.71","91,788,993.26","208,191,940.24","342,353,418.16","460,574,230.05","135,297,263.35","299,176,152.88"
吸收投资收到的现金,,,,,,"235,100,000.00",,,,"10,036,800.00",,
支付给职工以及为职工支付的现金,"35,542,099.88","46,380,681.18","51,246,389.44","37,159,518.69","49,207,564.75","60,423,382.18","22,943,061.87","36,187,273.44","50,147,328.15","61,267,122.32","24,835,335.14","38,677,920.87"
取得借款收到的现金,"120,000,000.00","20,000,000.00","40,000,000.00",,"20,000,000.00","20,000,000.00",,,"80,000,000.00","80,000,000.00","25,000,000.00","163,000,000.00"
