科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,767,873,556.05","3,673,331,642.33","5,403,430,701.61","2,793,206,909.17","4,223,095,586.94","5,295,178,561.51","1,179,078,176.87","2,404,574,050.26","3,735,678,596.08","4,877,044,911.87","1,100,488,365.36","2,310,964,655.52","3,407,932,839.97","4,313,953,662.73","968,760,435.29","1,908,228,560.41","2,762,292,756.14","3,490,388,949.45","676,179,950.74","1,401,856,922.17","2,580,006,363.10","3,766,844,813.42","1,199,645,635.45","2,540,118,338.62","3,933,568,926.98"
二、营业利润,"236,281,485.32","323,780,236.63","361,712,745.60","108,187,201.00","132,422,275.42","182,332,444.46","47,430,640.98","95,537,130.13","123,170,193.45","130,284,519.47","17,991,019.64","7,728,024.48","34,260,595.09","40,725,332.60","30,537,773.14","57,614,727.95","41,506,524.27","27,137,925.58","-16,071,163.07","-14,424,779.42","4,190,728.25","7,106,717.04","118,900,183.23","201,954,976.94","280,522,266.98"
减:营业成本,"1,403,417,049.08","3,134,912,387.01","4,864,810,280.73","2,545,902,047.99","3,880,348,785.38","4,859,270,214.78","1,090,651,449.02","2,250,054,187.69","3,522,422,194.00","4,613,817,114.10","1,039,260,709.06","2,212,195,224.88","3,241,923,207.74","4,108,449,047.44","902,739,257.88","1,783,721,605.97","2,588,811,482.71","3,261,020,270.81","640,833,069.36","1,308,169,438.69","2,336,763,188.12","3,463,142,510.18","1,069,982,801.58","2,265,214,904.05","3,491,610,336.45"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,887.07","36,411.34","38,612.41","20,993.16","28,245.55","36,238.75",945.00,"16,104.10","17,049.10","16,762.95",,,988.90,"116,051.00","156,804.06","655,040.23","692,602.59","692,692.51",3.10,3.10,3.10,"4,969,171.70","3,277,323.27","6,317,467.63","9,864,787.02"
营业外收入,"11,127,698.69","7,121,610.37","4,966,116.52","7,513,008.98","8,311,944.75","9,329,546.29","349,749.55","1,154,044.55","1,682,365.37","2,472,443.81","1,617,824.13","2,125,504.50","2,509,991.62","4,003,212.75","544,738.23","1,829,184.62","1,892,459.06","2,284,474.76","69,736.35","441,019.77","1,733,806.13","14,995,332.11","400,746.22","866,796.09","1,739,101.45"
销售费用,"19,320,686.40","37,807,478.21","52,068,693.77","30,459,238.62","42,571,228.58","53,707,982.84","11,733,243.53","25,714,882.39","38,416,776.25","50,807,192.98","10,716,599.56","26,152,973.18","39,192,234.23","50,859,604.91","9,701,876.81","20,153,538.20","29,246,398.82","37,767,119.34","8,845,928.39","17,045,710.93","50,061,649.48","35,591,534.64","9,230,908.80","20,836,834.20","37,389,166.54"
减:营业外支出,"4,727,683.84","2,085,330.97","1,929,324.61","749,436.94","879,060.85","1,370,109.69","381,739.83","462,068.25","4,593,080.71","5,278,113.94",,"11,355.78","14,159.70","1,068,537.72",100.00,"820,625.36","973,512.89","1,073,542.84","373,292.22","645,359.89","1,551,454.85","4,670,700.93","59,002.84","486,104.77","605,815.31"
管理费用,"67,712,135.73","106,897,500.40","134,501,946.80","81,915,883.28","121,994,348.15","164,899,947.89","37,733,555.38","72,363,819.37","108,811,327.83","141,182,432.16","28,866,518.37","52,989,886.10","85,949,039.96","127,700,419.04","27,966,108.21","59,332,808.64","88,771,232.14","114,325,234.95","28,991,191.21","64,170,586.57","157,842,419.69","169,221,624.74","47,969,764.29","105,543,401.12","166,797,885.63"
其中:非流动资产处置净损失,,,,"399,770.39",,,,,,,,,,"1,053,106.19",,,,"1,043,581.37",,,,"3,150,906.17",,,
