科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"813,142,993.90","921,495,221.99","1,208,341,144.60",,"677,659,154.12","1,084,419,860.32","1,571,683,335.76","425,747,724.52","954,182,464.23","1,530,196,897.90","2,077,157,525.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"107,792,779.15","61,917,104.84","80,210,532.10",,"44,582,642.42","67,960,898.63","105,121,165.04","35,499,323.07","67,788,541.96","111,265,135.07","183,910,984.63"
支付其他与投资活动有关的现金,,,,,,,,,,,345.27
收到其他与经营活动有关的现金,"40,287,391.96","30,950,216.24","81,449,648.67",,"11,404,410.40","14,158,588.18","26,012,565.00","1,933,390.18","14,648,355.72","23,123,887.31","27,302,135.51"
投资活动现金流出小计,"977,888,083.82","1,498,583,921.02","169,553,501.70",,"41,663,481.75","335,411,938.82","1,035,978,521.35","300,604,747.41","698,931,421.49","1,455,013,575.81","2,453,208,288.50"
经营活动现金流入小计,"961,223,165.01","1,014,362,543.07","1,370,001,325.37",,"733,646,206.94","1,166,539,347.13","1,702,817,065.80","463,180,437.77","1,036,619,361.91","1,664,585,920.28","2,288,370,645.54"
投资活动产生的现金流量净额,"-32,329,932.54","-23,363,130.06","-47,358,444.23","-15,469,100.00","-41,663,481.75","-335,411,938.82","-161,214,400.39","-24,008,557.92","-28,511,701.52","-167,412,390.87","-782,052,530.21"
购买商品、接受劳务支付的现金,"726,754,496.37","798,628,402.47","973,919,163.42",,"593,514,597.88","932,499,031.21","1,354,687,737.55","379,162,699.02","739,596,285.34","1,196,147,249.62","1,714,962,641.48"
吸收投资收到的现金,,,"3,219.89",,"700,000.00","535,169,300.00","535,169,300.00",,"121,377,899.98","121,377,899.98","121,377,899.98"
支付给职工以及为职工支付的现金,"50,095,871.18","58,324,936.69","88,838,148.20",,"74,149,376.51","101,727,888.03","128,152,456.49","57,652,632.23","83,263,897.43","112,969,299.73","144,655,000.16"
取得借款收到的现金,,,,,,,,,,,"235,285,333.53"
支付的各项税费,"30,191,694.73","17,544,099.03","29,075,024.97",,"19,813,816.26","23,189,097.77","26,303,056.05","5,063,355.06","15,039,763.96","21,617,481.80","32,897,918.26"
收到其他与筹资活动有关的现金,,,"642,942.46",,,,,"9,900,000.00","9,900,000.00","9,900,000.00","9,900,000.00"
支付其他与经营活动有关的现金,"53,752,575.06","44,780,675.68","60,983,430.28",,"46,708,099.91","74,996,064.89","110,061,123.30","34,065,031.44","64,799,181.04","94,630,539.98","198,150,862.35"
筹资活动现金流入小计,,,"646,162.35",,"700,000.00","535,169,300.00","535,169,300.00","9,900,000.00","131,277,899.98","131,277,899.98","366,563,233.51"
经营活动现金流出小计,"860,794,637.34","919,278,113.87","1,152,815,766.87",,"734,185,890.56","1,132,412,081.90","1,619,204,373.39","475,943,717.75","902,699,127.77","1,425,364,571.13","2,090,666,422.25"
偿还债务支付的现金,,,,,,,,,,,
经营活动产生的现金流量净额,"100,428,527.67","95,084,429.20","217,185,558.50","-31,550,800.00","-539,683.62","34,127,265.23","83,612,692.41","-12,763,279.98","133,920,234.14","239,221,349.15","197,704,223.29"
分配股利、利润或偿还利息支付的现金,,"9,980,706.42","14,504,279.38",,,,,,"37,942,839.13","53,000,000.01","53,000,000.00"
收回投资收到的现金,"943,900,000.00","1,469,800,000.00","120,750,000.00",,,,"870,000,000.00","275,000,000.00","654,413,813.46","1,269,319,822.14","1,651,237,555.92"
支付其他与筹资活动有关的现金,,,"642,730.30",,,"6,700,000.00","14,570,783.61",,,,"642,484.30"
取得投资收益收到的现金,"1,658,151.28","5,420,790.96","701,177.92",,,,"4,764,120.96","1,596,189.49","16,005,906.51","18,281,362.80","19,918,202.37"
筹资活动现金流出小计,,"9,980,706.42","15,147,009.68",,,"6,700,000.00","14,570,783.61",,"37,942,839.13","53,000,000.01","53,642,484.30"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"25,000.00",,,,,,,,
筹资活动产生的现金流量净额,,"-9,980,706.42","-14,500,847.33",,"700,000.00","528,469,300.00","520,598,516.39","9,900,000.00","93,335,060.85","78,277,899.97","312,920,749.21"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-4,602,376.76","1,028,458.41","2,605,584.91","-99,300.00","2,502,738.61","3,193,871.47","8,813,743.02","-514,310.29","-3,165,791.09","-12,242,467.05","-13,243,506.59"
收到其他与投资活动有关的现金,,,"718,879.55",,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"945,558,151.28","1,475,220,790.96","122,195,057.47",,,,"874,764,120.96","276,596,189.49","670,419,719.97","1,287,601,184.94","1,671,155,758.29"
五、现金及现金等价物净增加额,"63,496,218.37","62,769,051.13","157,931,851.85","-47,119,100.00","-39,000,426.76","230,378,497.88","451,810,551.43","-27,386,148.19","195,577,802.38","137,844,391.20","-284,671,064.30"
购建固定资产、无形资产和其他长期资产支付的现金,"28,988,083.82","17,701,541.42","40,803,501.70",,"25,223,288.75","45,126,886.08","78,559,881.55","22,604,747.41","44,331,421.49","82,413,575.81","233,186,651.14"
期初现金及现金等价物余额,"135,551,551.03","199,047,769.40","261,816,820.53",,"419,748,672.38","419,748,672.38","419,748,672.38","871,559,223.81","871,559,223.81","871,559,223.81","871,559,223.81"
投资支付的现金,"948,900,000.00","1,480,882,379.60","128,750,000.00",,"16,440,193.00","290,285,052.74","957,418,639.80","278,000,000.00","654,600,000.00","1,372,600,000.00","2,220,021,292.09"
期末现金及现金等价物余额,"199,047,769.40","261,816,820.53","419,748,672.38",,"380,748,245.62","650,127,170.26","871,559,223.81","844,173,075.62","1,067,137,026.19","1,009,403,615.01","586,888,159.51"
