科目,2010年度,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,250,787,848.28","941,343,121.09","1,689,616,580.33","3,816,204,907.49","822,076,688.78","1,343,787,500.00","1,734,359,810.13","443,343,807.20","1,005,060,281.72","1,531,057,381.75"
提取保险责任准备金,,,,,,,,,,
利息净收入,"96,372,162.82","225,970,073.13","237,109,348.60","479,179,316.42","201,755,237.85",,"467,749,448.18","168,240,283.07","295,067,570.68","428,676,453.81"
减：摊回保险责任准备金,,,,,,,,,,
利息收入,,,,,,,"920,578,510.90",,"505,546,851.87",
保单红利支出,,,,,,,,,,
利息支出,,,,,,,"452,829,062.72",,"210,479,281.19",
分保费用,,,,,,,,,,
手续费及佣金净收入,"1,027,143,863.16","755,168,420.56","1,052,687,384.78","2,683,870,534.65","603,828,805.02",,"1,159,777,917.28","223,357,781.76","473,082,952.17","728,993,103.54"
营业税金及附加,"64,884,585.23","55,786,995.65","90,484,800.93","227,416,275.35","43,288,942.34",,"57,292,856.03","2,758,298.58","8,132,455.44","12,032,987.03"
手续费及佣金收入,,,,,,,"1,449,813,179.61",,"596,668,569.87",
手续费及佣金支出2,,,,,,,,,,
手续费及佣金支出,,,,,,,"290,035,262.33",,"123,585,617.70",
业务及管理费,"441,890,941.62","614,902,919.33","678,633,405.11","1,122,240,093.18","425,977,723.13",,"869,869,894.13","224,133,697.76","460,654,510.11","698,850,944.28"
其中：代理买卖证券业务净收入,"1,020,772,713.18",,,,,,,,"378,422,096.19",
减：摊回分保费用,,,,,,,,,,
证券承销业务净收入,"1,073,578.95",,,,,,,,"51,146,934.33",
资产减值损失,"717,452.46","495,242.09","46,128,202.53","6,701,624.55","-4,731,153.27",,"4,190,621.35","-232,827.22","1,968,655.03","8,585,260.31"
委托客户管理资产业务净收入,"3,246,685.66",,,,,,,,"30,008,888.02",
其他业务成本,"3,133,146.88","2,489,132.55","3,201,367.52","2,727,034.08","1,493,426.92",,"3,206,706.37","103,580.24","414,805.28","596,421.74"
已赚保费,,,,,,,,,,
三、营业利润,"740,161,722.09","267,668,831.47","871,168,804.24","2,457,119,880.33","356,047,749.66","674,412,900.00","799,799,732.25","216,581,057.84","534,576,322.03","810,991,768.39"
保险业务收入,,,,,,,,,,
加：补贴收入,,,,,,,,,,
其中：分保费收入,,,,,,,,,,
营业外收入,"2,450,833.77","11,203,379.76","8,919,215.44","5,484,403.40","562,857.35",,"6,072,334.08","2,091,275.70","2,732,548.78","4,351,116.96"
减：分出保费,,,,,,,,,,
减：营业外支出,"2,188,400.78","2,021,122.19","5,034,712.93","7,084,538.08","61,411.37",,"2,038,297.77","190,380.02","5,326,199.47","5,426,830.49"
提取未到期责任准备金,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,
投资收益,"142,239,502.99","53,353,053.75","316,677,729.99","776,651,539.11","238,284,688.16",,"451,787,999.28","141,999,285.98","303,784,035.42","513,385,465.60"
四、利润总额,"740,424,155.08","276,851,089.04","875,053,306.75","2,455,519,745.65","356,549,195.64","678,998,400.00","803,833,768.56","218,481,953.52","531,982,671.34","809,916,054.86"
其中：对联营企业和合营企业的投资收益,"8,820,661.49","-5,341,134.87","-98,231.00","43,699,944.10","22,312,634.81",,"37,322,233.41","8,901,229.52","20,754,779.94","29,063,071.72"
减：所得税,"184,796,546.31","87,438,311.82","187,159,502.94","590,386,601.87","90,375,157.81",,"199,415,008.71","52,509,174.87","115,381,315.39","178,088,869.15"
公允价值变动收益,"-16,798,884.52","-99,026,676.88","74,772,556.00","-131,835,973.95","-226,164,769.52",,"-354,741,322.06","-91,110,266.10","-69,414,829.98","-144,759,469.00"
加：影响净利润的其他科目,,,,,,,,,,
汇兑收益,"-1,127,895.44","-417,900.11","46,855.02","1,109,926.35","445,455.91",,"1,471,169.70","-136,831.29","-586,678.42","-1,066,154.70"
五、净利润,"555,627,608.77","189,412,777.22","687,893,803.81","1,865,133,143.78","266,174,037.83",,"604,418,759.85","165,972,778.65","416,601,355.95","631,827,185.71"
其他业务收入,"2,959,099.27","6,296,150.64","8,322,705.94","7,229,564.91","3,927,271.36",,"8,314,597.75","993,553.78","3,127,231.85","4,140,994.95"
（一）归属于母公司所有者的净利润,"550,844,903.54","187,193,507.17","686,113,287.10","1,865,072,011.20","266,171,492.38","513,934,100.00","602,013,378.58","165,222,461.12","406,471,266.10","602,795,438.88"
二、营业支出,"510,626,126.19","673,674,289.62","818,447,776.09","1,359,085,027.16","466,028,939.12",,"934,560,077.88","226,762,749.36","471,170,425.86","720,065,613.36"
（二）少数股东损益,"4,782,705.23","2,219,270.05","1,780,516.71","61,132.58","2,545.45",,"2,405,381.27","750,317.53","10,130,089.85","29,031,746.83"
退保金,,,,,,,,,,
六、每股收益,,,,,,,,,,
赔付支出,,,,,,,,,,
（一）基本每股收益,0.23,0.07,0.24,0.66,0.09,0.18,0.21,0.05,0.11,0.17
减：摊回赔付支出,,,,,,,,,,
（二）稀释每股收益,0.23,0.07,0.24,0.66,0.09,,0.21,0.05,0.11,0.17
