科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"225,165,879.96","252,336,074.35","246,963,846.33","59,116,289.44","149,546,105.26","201,165,766.44","257,225,628.29","68,394,434.07","216,473,034.73","381,537,679.89","565,990,157.69","205,748,930.97","483,842,021.05","781,065,110.34"
二、营业利润,"47,655,892.79","52,078,216.19","41,575,482.28","7,730,810.63","22,319,045.13","25,498,135.17","29,545,521.40","7,097,603.92","30,132,920.58","60,283,531.44","85,349,506.58","38,998,633.07","94,975,331.86","149,492,146.45"
减:营业成本,"133,964,287.93","156,192,192.97","160,426,991.82","40,355,949.21","102,650,154.31","142,110,533.09","184,113,814.33","50,695,294.37","148,513,843.08","256,850,261.19","372,742,049.17","126,701,177.13","299,269,409.88","489,338,526.15"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"1,464,134.85","1,260,551.96","1,242,145.10","607,140.58","1,526,590.40","1,646,177.09","1,744,076.18","136,327.76","652,221.71","1,772,199.11","4,922,336.44","2,338,584.75","4,681,170.08","6,486,897.65"
营业外收入,"7,262,924.58","3,722,437.08","5,437,128.23","581,250.15","1,228,663.04","2,586,306.02","5,794,301.09","545,207.43","1,890,053.38","3,141,717.65","4,422,281.82","1,457,276.01","3,064,275.13","6,767,850.37"
销售费用,"9,119,867.26","9,789,394.79","9,648,625.58","2,090,319.49","4,667,711.84","7,169,782.63","10,268,395.84","2,845,704.72","10,347,320.44","19,731,560.89","32,024,870.55","11,849,794.19","26,160,399.81","39,440,882.44"
减:营业外支出,"136,032.71","69,457.91","150,000.00",,,"20,000.00","20,000.00","7,797.37","365,456.78","479,007.16","879,385.75","10,642.96","30,378.25","557,816.47"
管理费用,"22,199,076.93","22,223,429.89","21,680,461.93","5,141,984.02","11,225,165.20","17,055,836.68","23,545,636.56","7,188,256.58","20,000,574.82","37,427,019.58","60,235,345.17","21,062,302.47","50,596,827.13","86,067,462.18"
其中:非流动资产处置净损失,,"1,328.23","69,457.91",,,,,,"365,440.18","478,590.56","877,969.15",,"13,869.66","534,736.17"
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"8,809,502.42","8,327,511.98","9,093,520.57","2,311,664.33","4,331,240.32","4,516,365.80","5,034,584.51","683,825.73","1,847,177.02","2,540,914.78","3,535,186.83","1,404,985.47","3,884,506.01","7,990,611.74"
三、利润总额,"54,782,784.66","55,731,195.36","46,862,610.51","8,312,060.78","23,547,708.17","28,064,441.19","35,319,822.49","7,635,013.98","31,657,517.18","62,946,241.93","88,892,402.65","40,445,266.12","98,009,228.74","155,702,180.35"
资产减值损失,"1,953,117.78","2,464,776.57","3,296,619.05","878,421.18","2,826,198.06","3,168,935.98","2,973,599.47","-252,579.01","4,537,113.21","2,291,685.58","5,268,986.70","2,292,721.45","3,536,208.99","1,981,500.33"
减:所得税,"7,396,413.03","7,741,204.54","6,566,094.99","1,368,404.96","3,003,718.70","3,625,939.60","4,341,502.28","1,223,597.52","5,011,092.42","10,341,386.23","13,843,286.95","6,536,863.16","14,785,346.50","24,232,671.75"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,,,,,,,,,"-441,863.87","-640,507.32","-1,911,876.25","-1,100,732.44","-2,519,087.29","-2,705,455.00"
四、净利润,"47,386,371.63","47,989,990.82","40,296,515.52","6,943,655.82","20,543,989.47","24,438,501.59","30,978,320.21","6,411,416.46","26,646,424.76","52,604,855.70","75,049,115.70","33,908,402.96","83,223,882.24","131,469,508.60"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,"-640,507.32",,,,"-2,149,530.70"
归属于母公司所有者的净利润,"47,386,371.63","47,989,990.82","40,554,449.53","7,036,209.15","20,594,269.33","24,665,781.52","31,262,485.73","6,135,276.32","25,656,305.21","51,032,285.88","70,610,915.79","29,575,831.11","73,274,121.16","115,998,248.14"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,,,"-257,934.01","-92,553.33","-50,279.86","-227,279.93","-284,165.52","276,140.14","990,119.55","1,572,569.82","4,438,199.91","4,332,571.85","9,949,761.08","15,471,260.46"
