科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"32,649,938.24","36,640,342.30","44,038,883.95","45,955,638.44","54,593,708.60","192,678,838.69","168,525,788.66","138,658,628.65","237,421,501.59"
短期借款,,"8,000,000.00","10,000,000.00","20,000,000.00","10,000,000.00","10,000,000.00",,,"140,000,000.00"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,,,,,,,,,
应付票据,,,,,,,,,
应收账款,"27,249,177.57","36,625,190.38","68,724,995.43","95,267,220.04","105,059,872.77","96,459,824.08","91,008,189.51","101,690,064.86","104,308,892.18"
应付账款,"4,950,206.96","2,735,081.64","3,604,079.77","9,395,401.97","21,301,584.89","40,302,324.59","31,629,771.67","53,932,944.90","63,891,983.20"
预付款项,"6,389,835.76","15,357,114.81","14,007,342.70","21,212,369.20","18,403,124.27","17,455,365.06","22,552,258.63","38,951,768.82","32,590,278.17"
预收款项,,,,,"438,501.97","869,795.65",,"326,836.99","228,722.68"
其他应收款,"2,243,913.22","4,651,329.90","5,964,240.71","7,524,586.23","8,442,835.46","2,130,760.38","3,922,970.63","3,084,827.04","4,067,384.40"
应付职工薪酬,"1,941,549.72","1,949,453.45","2,417,001.49","2,343,654.95","2,957,140.79","4,108,281.81","3,680,299.33","5,513,320.71","5,385,158.66"
应收关联公司款,,,,,,,,,
应交税费,"5,330,584.95","4,509,515.94","8,101,418.83","13,115,511.06","13,693,367.98","15,122,051.71","22,640,363.01","30,184,106.90","34,256,237.91"
应收利息,,,,,,,,,
应付利息,,"13,333.33","12,777.78",,"12,054.79","31,062.41",,"17,953.19","17,441.60"
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,,,,,,,,,
其他应付款,"302,693.88","403,714.85","5,006,717.39","5,976,341.52","6,182,103.62","8,700,506.34","2,995,331.57","892,195.01","688,307.04"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,"532,007.15","2,107,640.10","26,121.27",,,"185,313.74","30,185,313.74","40,037,213.96","70,086,660.92"
其他流动负债,,,,,,,,,
流动资产合计,"69,064,871.94","95,381,617.49","132,761,584.06","169,959,813.91","186,499,541.10","308,910,101.95","316,194,521.17","322,422,503.33","448,474,717.26"
流动负债合计,"12,525,035.51","17,611,099.21","29,141,995.26","50,830,909.50","54,584,754.04","79,134,022.51","60,945,765.58","90,867,357.70","244,467,851.09"
可供出售金融资产,,,,,,,,"1,000,000.00","4,700,000.00"
长期借款,,,,"8,909,000.00","8,682,500.00","8,450,924.40","8,223,155.50","7,994,117.70","7,766,348.80"
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,"18,477,750.43","18,226,835.55"
预计负债,,,,,,,,,"34,425,000.00"
固定资产,"394,702.53","337,295.26","530,521.68","1,033,381.65","1,188,011.70","20,207,561.99","20,125,966.49","1,734,945.58","1,896,613.76"
递延所得税负债,,,,,,,,,
在建工程,,,,"18,200,000.00","18,200,000.00",,,"31,063,703.00","38,493,703.00"
其他非流动负债,,,,,,,"15,902,852.13",,"25,278,525.49"
工程物资,,,,,,,,,
非流动负债合计,,,,"11,434,587.42","15,888,222.63","16,522,620.39","24,126,007.63","28,837,212.99","67,469,874.29"
固定资产清理,,,,,,,,,
负债合计,"12,525,035.51","17,611,099.21","29,141,995.26","62,265,496.92","70,472,976.67","95,656,642.90","85,071,773.21","119,704,570.69","311,937,725.38"
生产性生物资产,,,,,,,,,
实收资本(或股本),"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","80,000,000.00"
油气资产,,,,,,,,,
资本公积,"11,895,571.64","11,895,571.64","11,895,571.64","11,895,571.64","11,895,571.64","90,345,571.64","90,345,571.64","90,345,571.64","50,345,571.64"
无形资产,"6,288,671.42","4,411,298.94","3,089,026.10","3,279,804.23","4,575,221.31","8,005,743.30","13,092,365.35","26,206,150.90","18,772,515.60"
盈余公积,"2,526,506.19","4,731,939.96","7,641,300.70","7,641,300.70","7,641,300.70","9,528,743.25","9,528,743.25","9,528,743.25","9,528,743.25"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,"68,806,280.38"
未分配利润,"22,962,677.31","41,088,811.08","63,955,072.92","88,916,254.75","99,506,365.40","110,493,645.51","132,371,988.69","150,818,330.16","161,881,990.75"
长期待摊费用,"2,077,601.13","2,231,881.36","3,250,071.73","4,608,681.32","5,254,959.59","7,654,764.44","6,608,532.82","8,123,954.83","14,344,201.70"
少数股东权益,,,"-27,535.04","-63,723.74","-94,319.42","-143,941.46","-200,869.22","-115,480.88","1,460,433.37"
递延所得税资产,"2,083,943.63","2,965,328.84","2,975,201.91","3,573,219.16","3,704,161.29","1,102,490.16","1,095,821.74","1,252,726.79","1,439,597.14"
外币报表折算价差,,,,,,,,,
其他非流动资产,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"10,844,918.71","9,945,804.40","9,844,821.42","30,695,086.36","32,922,353.89","36,970,559.89","40,922,686.40","87,859,231.53","166,679,747.13"
所有者权益(或股东权益)合计,"67,384,755.14","87,716,322.68","113,464,410.22","138,389,403.35","148,948,918.32","250,224,018.94","272,045,434.36","290,577,164.17","303,216,739.01"
资产总计,"79,909,790.65","105,327,421.89","142,606,405.48","200,654,900.27","219,421,894.99","345,880,661.84","357,117,207.57","410,281,734.86","615,154,464.39"
负债和所有者(或股东权益)合计,"79,909,790.65","105,327,421.89","142,606,405.48","200,654,900.27","219,421,894.99","345,880,661.84","357,117,207.57","410,281,734.86","615,154,464.39"
