科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"174,979,324.47","181,608,372.19","321,696,017.18","84,314,643.71","193,994,952.03","319,924,104.17"
二、营业利润,"42,021,992.37","40,827,556.90","114,622,391.20","29,368,031.99","57,293,288.47","78,447,584.14"
减:营业成本,"84,745,440.62","79,980,761.43","138,461,253.84","33,340,157.53","92,039,919.04","161,695,189.94"
加:补贴收入,,,,,,
营业税金及附加,"609,972.49","414,730.74","796,668.57",556.13,"426,451.14","426,807.72"
营业外收入,"812,773.35","1,721,730.00","4,686,618.00","129,770.00","4,925,235.00","7,705,235.00"
销售费用,"5,266,183.05","4,574,775.84","5,905,328.89","1,074,062.88","2,179,951.99","4,148,114.88"
减:营业外支出,,"4,468.37","122,525.21",434.85,"2,074.71","2,352.40"
管理费用,"42,755,212.60","54,450,700.82","71,367,306.84","19,724,497.78","38,651,133.47","69,556,085.97"
其中:非流动资产处置净损失,,"4,468.37","102,525.21",,"2,074.71","2,352.40"
堪探费用,,,,,,
加:影响利润总额的其他科目,,,,,,
财务费用,"-581,276.53","-3,099,816.36","-9,650,310.23","732,270.34","2,984,365.91","5,816,994.46"
三、利润总额,"42,834,765.72","42,544,818.53","119,186,483.99","29,497,367.14","62,216,448.76","86,150,466.74"
资产减值损失,"161,799.87","4,459,662.82","193,378.07","75,067.06","419,842.01","323,182.32"
减:所得税,"5,028,560.18","5,679,480.32","9,326,816.70","2,597,854.31","5,260,072.70","6,583,801.82"
加:公允价值变动净收益,,,,,,
加:影响净利润的其他科目,,,,,,
投资收益,,,,,,"489,855.26"
四、净利润,"37,806,205.54","36,865,338.21","109,859,667.29","26,899,512.83","56,956,376.06","79,566,664.92"
其中:对联营企业和合营企业的投资权益,,,,,,
归属于母公司所有者的净利润,"37,806,205.54","37,359,063.30","111,840,683.52","27,307,643.25","57,795,120.05","80,820,164.43"
影响营业利润的其他科目,,,,,,
少数股东损益,,"-493,725.09","-1,981,016.23","-408,130.42","-838,743.99","-1,253,499.51"
