科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"984,245,923.22","972,454,298.01","850,178,803.79","542,453,038.89","801,414,570.68","99,703,342.65","253,670,036.16","419,737,589.77","645,060,808.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,"2,933,284.36","3,029,365.93","5,122,441.65","472,170.17","472,170.17","1,502,107.48","5,601,721.74","5,601,721.74","5,862,810.31"
支付其他与投资活动有关的现金,,,,,,,,,"181,000,000.00"
收到其他与经营活动有关的现金,"20,896,850.58","22,184,463.07","50,780,658.40","30,874,732.96","42,412,576.08","5,527,424.73","12,806,796.15","23,716,873.78","34,674,074.30"
投资活动现金流出小计,"37,776,496.69","39,813,539.91","35,092,404.10","6,285,619.95","44,055,484.51","4,574,973.86","12,648,017.79","104,636,555.15","251,021,650.58"
经营活动现金流入小计,"1,008,076,058.16","997,668,127.01","906,081,903.84","573,799,942.02","844,299,316.93","106,732,874.86","272,078,554.05","449,056,185.29","685,597,692.62"
投资活动产生的现金流量净额,"-24,144,936.78","-36,023,662.90","-32,864,308.22","-3,821,006.65","-41,513,093.43","-4,574,973.86","-10,144,463.79","-102,133,001.15","-138,710,162.66"
购买商品、接受劳务支付的现金,"741,392,823.78","738,636,198.73","598,759,874.63","320,047,021.32","466,433,353.65","206,662,775.70","244,782,600.94","364,271,018.64","505,248,952.83"
吸收投资收到的现金,,,,,"365,367,030.13",,,,"19,600,000.00"
支付给职工以及为职工支付的现金,"73,873,533.32","97,873,494.49","90,296,559.72","69,849,499.77","92,777,094.48","23,491,753.89","51,874,955.50","79,773,912.99","106,424,907.76"
取得借款收到的现金,"260,332,250.00","276,157,243.71","193,145,235.49","197,404,260.00","207,404,260.00","68,798,000.00","68,798,000.00","68,798,000.00","68,798,000.00"
支付的各项税费,"63,972,100.37","85,504,334.25","65,597,970.29","52,926,475.13","75,155,313.87","12,426,004.22","18,811,517.72","28,866,862.65","33,114,734.54"
收到其他与筹资活动有关的现金,,,,,,,,,
支付其他与经营活动有关的现金,"46,256,579.59","54,409,528.82","64,090,553.99","40,986,005.94","52,674,136.26","42,996,476.75","81,678,988.51","97,378,651.45","109,591,635.35"
筹资活动现金流入小计,"260,332,250.00","276,157,243.71","193,145,235.49","197,404,260.00","572,771,290.13","68,798,000.00","68,798,000.00","68,798,000.00","88,398,000.00"
经营活动现金流出小计,"925,495,037.06","976,423,556.29","818,744,958.63","483,809,002.16","687,039,898.26","285,577,010.56","397,148,062.67","570,290,445.73","754,380,230.48"
偿还债务支付的现金,"291,446,800.00","246,218,736.64","194,375,992.56","206,354,260.00","366,354,260.00",,"68,798,000.00","68,798,000.00","68,798,000.00"
经营活动产生的现金流量净额,"82,581,021.10","21,244,570.72","87,336,945.21","89,990,939.86","157,259,418.67","-178,844,135.70","-125,069,508.62","-121,234,260.44","-68,782,537.86"
分配股利、利润或偿还利息支付的现金,"11,779,870.99","8,614,571.70","8,581,465.32","6,004,346.76","7,820,261.78",,"26,564,835.72","26,564,835.72","27,273,957.69"
收回投资收到的现金,,"1,844,607.24",,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,
取得投资收益收到的现金,"12,784,508.63","1,874,582.10","1,789,882.20","2,284,613.30","2,284,613.30",,"2,503,554.00","2,503,554.00","2,503,554.00"
筹资活动现金流出小计,"303,226,670.99","254,833,308.34","202,957,457.88","212,358,606.76","374,174,521.78",,"95,362,835.72","95,362,835.72","96,071,957.69"
处置固定资产、无形资产和其他长期资产收回的现金净额,"147,051.28","70,687.67","88,213.68",,"77,777.78",,,,"347,315.68"
筹资活动产生的现金流量净额,"-42,894,420.99","21,323,935.37","-9,812,222.39","-14,954,346.76","198,596,768.35","68,798,000.00","-26,564,835.72","-26,564,835.72","-7,673,957.69"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"-2,812,577.06","-376,746.42","2,907,943.42","3,345,154.92","8,528,859.30","-991,992.89","-2,023,602.67","-4,756,458.78","-5,364,129.24"
收到其他与投资活动有关的现金,"700,000.00",,"350,000.00","180,000.00","180,000.00",,,,"109,460,618.24"
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"13,631,559.91","3,789,877.01","2,228,095.88","2,464,613.30","2,542,391.08",,"2,503,554.00","2,503,554.00","112,311,487.92"
五、现金及现金等价物净增加额,"12,729,086.27","6,168,096.77","47,568,358.02","74,560,741.37","322,871,952.89","-115,613,102.45","-163,802,410.80","-254,688,556.09","-220,530,787.45"
购建固定资产、无形资产和其他长期资产支付的现金,"37,776,496.69","37,849,713.96","35,092,404.10","6,285,619.95","44,055,484.51","4,574,973.86","12,648,017.79","16,636,555.15","70,021,650.58"
期初现金及现金等价物余额,"67,219,286.62","79,948,372.89","86,116,469.66","133,684,827.68","133,684,827.68","456,556,780.57","456,556,780.57","456,556,780.57","456,556,780.57"
投资支付的现金,,"1,963,825.95",,,,,,"88,000,000.00",
期末现金及现金等价物余额,"79,948,372.89","86,116,469.66","133,684,827.68","208,245,569.05","456,556,780.57","340,943,678.12","292,754,369.77","201,868,224.48","236,025,993.12"
