科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"233,060,627.19","283,705,964.91","34,660,922.95","345,743,819.42","120,399,868.22","193,465,568.48","293,982,939.43","417,782,525.61","133,094,281.94","203,162,721.45","274,822,852.69","375,606,759.97","102,950,941.38","128,175,566.72","181,129,363.40","247,362,312.22","120,498,993.79","174,870,302.42","217,040,843.23"
二、营业利润,"67,891,138.19","78,487,122.82","7,659,392.95","91,559,267.02","33,915,868.48","47,086,108.09","80,590,865.65","123,189,469.84","51,194,358.29","74,914,347.84","112,885,675.94","130,656,657.83","52,196,992.69","60,888,736.74","78,274,863.45","92,549,626.01","36,527,623.57","66,414,399.63","86,270,149.28"
减:营业成本,"139,054,742.80","175,750,413.69","18,290,082.39","214,414,517.31","75,396,215.64","128,179,123.68","181,938,275.75","242,309,022.58","69,328,357.06","112,870,046.05","140,746,092.80","199,665,431.43","44,747,209.62","41,472,478.58","69,328,607.95","104,858,266.30","71,100,171.54","82,097,919.58","99,526,374.40"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,583,694.39","2,371,774.37","91,805.61","1,858,776.85","427,031.18","1,071,621.46","1,113,375.00","1,591,342.68","155,888.22","1,506,056.53","1,654,890.69","3,020,619.97","278,832.40","3,888,305.16","322,470.20","5,741,405.03","1,158,518.60","2,673,218.63","3,850,104.66"
营业外收入,"642,434.20","894,810.00","440,000.00","2,460,195.50",,"2,818,043.55","2,818,043.55","4,288,748.74","68,290.80","1,093,671.32","1,356,881.14","3,008,590.63","179,500.01","1,527,597.08","1,713,717.43","1,799,817.44","269,500.01","344,317.32","718,306.77"
销售费用,"781,504.09","1,349,298.82","91,520.24","1,155,892.42","175,492.03","666,305.62","1,380,557.03","1,005,319.04","112,139.12","737,974.08","1,443,246.92","547,952.25","171,646.07","420,696.17","515,670.86","570,972.62","138,123.49","796,723.05","1,076,225.45"
减:营业外支出,"65,155.21",200.00,"11,529.46","90,729.29",,,,,,,,"92,823.84",,"3,500.05","3,500.05","4,407.08","21,864.81","517,941.89","1,085,071.15"
管理费用,"23,423,539.09","27,025,327.81","8,160,619.87","43,313,433.26","8,116,845.67","18,299,980.28","31,975,943.05","52,179,016.14","11,490,584.71","20,963,639.87","28,784,070.07","51,699,815.84","5,718,107.04","17,420,126.26","27,272,676.16","37,287,343.13","8,870,018.55","19,064,956.77","26,094,906.02"
其中:非流动资产处置净损失,"59,655.21",,"11,529.46","70,729.29",,,,,,,,"65,082.03",,,,109.00,109.00,"495,777.91","608,995.24"
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"-729,458.98","-2,012,644.78","-847,042.61","-5,843,797.19","-584,187.79","-2,608,748.63","-3,787,255.03","1,105,162.16","330,810.02","-4,828,074.20","-2,793,481.93","351,302.26","305,010.58","2,177,701.17","3,707,214.71","8,007,590.56","2,231,015.37","2,261,159.26","5,785,196.25"
三、利润总额,"68,468,417.18","79,381,732.82","8,087,863.49","93,928,733.23","33,915,868.48","49,904,151.64","83,408,909.20","127,478,218.58","51,262,649.09","76,008,019.16","114,242,557.08","133,572,424.62","52,376,492.70","62,412,833.77","79,985,080.83","94,345,036.37","36,775,258.77","66,240,775.06","85,903,384.90"
资产减值损失,"463,590.91","734,672.18","1,214,544.50","-714,270.25","2,952,603.01","111,664.08","1,116,664.08","2,349,109.37","482,144.52","593,863.37","1,948,449.19","3,835,500.24","-466,857.02","2,502,964.11","2,437,548.10","3,321,412.37","473,522.67","3,533,334.96","2,513,557.33"
减:所得税,"10,858,390.15","12,132,923.11","1,586,436.76","13,911,836.89","5,155,683.43","7,359,244.13","13,089,648.42","18,666,410.40","7,652,590.99","11,658,261.73","17,423,888.41","18,488,585.42","7,807,820.07","8,976,107.85","10,897,130.81","12,572,646.68","5,528,620.59","9,983,465.13","12,537,588.47"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,
投资收益,"408,123.30",,,,,"345,486.10","345,486.10","5,945,916.20",,"3,595,132.09","9,846,090.99","14,170,519.85",,"595,441.47","729,688.03","4,974,303.80",,"1,971,409.46","8,075,670.16"
四、净利润,"57,610,027.03","67,248,809.71","6,501,426.73","80,016,896.34","28,760,185.05","42,544,907.51","70,319,260.78","108,811,808.18","43,610,058.10","64,349,757.43","96,818,668.67","115,083,839.20","44,568,672.63","53,436,725.92","69,087,950.02","81,772,389.69","31,246,638.18","56,257,309.93","73,365,796.43"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,"3,553,208.08",,"35,382.06","530,459.48"
归属于母公司所有者的净利润,"57,610,027.03","67,248,809.71","6,501,426.73","80,016,896.34","28,760,185.05","42,544,907.51","70,319,260.78","108,811,808.18","43,610,058.10","64,349,757.43","96,818,668.67","115,083,839.20","44,568,672.63","53,494,375.71","69,206,169.98","81,727,545.11","31,253,643.46","56,727,502.81","73,943,003.41"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,"-57,649.79","-118,219.96","44,844.58","-7,005.28","-470,192.88","-577,206.98"
