科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"214,349,305.51","249,265,077.80","288,953,940.88","54,667,657.72","142,601,533.30","233,393,684.78","381,710,019.53","48,501,186.46","119,932,280.85","186,987,186.74","297,629,149.58","66,330,266.49","136,956,186.13","211,321,383.32","357,577,894.73","70,999,663.65","147,734,993.77","241,390,369.09","413,649,258.49","79,182,489.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"7,706,497.40","9,223,837.40","9,223,837.40",,"42,747,753.34","42,747,753.34","48,687,753.34",
收到的税费返还,"8,835,233.20","11,126,888.55","11,127,063.71","1,346,263.87","2,351,185.50","6,722,611.20","10,946,484.29","1,878,008.18","3,095,209.18","4,818,400.91","6,410,910.93","2,180,108.13","2,648,683.77","4,821,786.78","7,250,317.47","1,251,526.55","2,835,600.96","7,091,703.48","8,605,032.84","1,119,216.41"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"80,000.00",
收到其他与经营活动有关的现金,"4,271,164.82","11,009,391.85","3,617,436.10","19,015,707.13","9,522,894.09","2,750,851.15","4,243,047.74","1,814,341.15","7,808,364.17","22,479,242.84","7,621,664.59","787,906.54","1,753,533.60","7,315,371.83","24,073,372.76","601,642.04","28,855,250.06","60,104,736.11","53,078,551.59","4,821,358.55"
投资活动现金流出小计,"14,909,516.79","23,498,972.40","10,681,681.18","1,845,279.73","2,796,765.53","3,950,693.78","11,961,455.18","8,106,938.57","9,722,194.80","15,114,449.03","17,286,928.76","1,932,028.83","11,025,115.72","32,340,233.17","34,831,099.60","8,182,063.02","64,062,325.55","65,380,592.47","80,183,849.69","10,991,672.76"
经营活动现金流入小计,"227,455,703.53","271,401,358.20","303,698,440.69","75,029,628.72","154,475,612.89","242,867,147.13","396,899,551.56","52,193,535.79","130,835,854.20","214,284,830.49","311,661,725.10","69,298,281.16","141,358,403.50","223,458,541.93","388,901,584.96","72,852,832.24","179,425,844.79","308,586,808.68","475,332,842.92","85,123,064.38"
投资活动产生的现金流量净额,"-14,901,516.79","-23,486,732.40","-10,676,381.18","-1,836,511.73","-2,787,997.53","-3,941,925.78","-11,952,687.18","-8,106,938.57","-9,722,194.80","-15,114,449.03","-17,242,727.76","2,067,971.17","-6,025,115.72","-27,340,233.17","-29,831,099.60","-8,164,063.02","-64,042,375.55","-70,979,564.12","-84,745,051.34","-10,973,272.76"
购买商品、接受劳务支付的现金,"122,997,339.24","162,024,680.36","166,807,517.86","106,085,153.57","160,094,499.36","193,584,361.78","269,789,336.11","77,405,431.72","134,317,586.48","223,370,549.47","256,672,519.41","63,146,280.19","154,057,450.01","199,085,683.18","297,892,032.96","38,837,246.38","165,935,442.34","226,376,850.22","304,728,661.00","48,660,742.27"
吸收投资收到的现金,,,,,"172,654,600.00","172,654,600.00","172,654,600.00",,,,"4,900,000.00",,,"2,040,000.00","2,040,000.00",,,,,"53,769,994.00"
支付给职工以及为职工支付的现金,"25,338,284.91","30,828,627.76","31,183,339.66","12,150,114.39","19,511,133.28","27,354,837.68","36,475,195.58","14,005,323.32","21,441,018.16","29,830,577.09","40,270,235.75","13,327,066.05","25,198,661.20","40,675,748.32","59,975,103.32","20,996,463.46","38,481,890.56","60,751,922.47","77,787,553.97","29,719,810.47"
取得借款收到的现金,"3,000,000.00",,,"10,000,000.00","17,900,000.00","17,900,000.00","17,900,000.00",,,,,,"20,000,000.00","40,000,000.00","80,300,000.00",,"95,089,034.70","138,509,034.70","177,019,034.70",
支付的各项税费,"24,968,580.04","20,290,339.12","24,577,738.48","11,866,875.23","20,482,344.03","27,633,926.99","36,257,096.98","10,667,037.87","14,132,769.66","17,006,132.60","19,474,858.74","7,821,046.54","15,089,648.11","20,467,926.10","27,299,896.46","6,381,825.95","14,791,248.89","23,676,922.60","32,519,073.65","9,049,583.71"
收到其他与筹资活动有关的现金,,,,,"6,059,500.00","2,669,500.00","2,669,500.00",,,,,,,,,,,,"10,000,000.00",
支付其他与经营活动有关的现金,"25,658,509.44","25,235,459.92","39,799,627.02","8,392,988.28","13,576,946.52","29,042,001.75","39,179,908.05","11,263,304.08","16,303,361.74","26,368,818.13","42,371,218.46","12,793,424.58","32,424,989.02","48,012,134.08","52,733,002.71","35,519,961.06","30,978,144.29","51,926,508.69","56,315,752.26","32,429,272.55"
筹资活动现金流入小计,"3,000,000.00",,,"10,000,000.00","196,614,100.00","193,224,100.00","193,224,100.00",,,,"4,900,000.00",,"20,000,000.00","42,040,000.00","82,340,000.00",,"95,089,034.70","138,509,034.70","187,019,034.70","53,769,994.00"
经营活动现金流出小计,"198,962,713.63","238,379,107.16","262,368,223.02","138,495,131.47","213,664,923.19","277,615,128.20","381,701,536.72","113,341,096.99","186,194,736.04","296,576,077.29","358,788,832.36","97,087,817.36","226,770,748.34","308,241,491.68","437,900,035.45","101,735,496.85","250,186,726.08","362,732,203.98","471,351,040.88","119,859,409.00"
偿还债务支付的现金,"23,000,000.00",,,,"10,000,000.00","17,900,000.00","17,900,000.00",,,,,,,,"32,000,000.00",,"20,000,000.00","50,000,000.00","104,389,034.70","19,000,000.00"
经营活动产生的现金流量净额,"28,492,989.90","33,022,251.04","41,330,217.67","-63,465,502.75","-59,189,310.30","-34,747,981.07","15,198,014.84","-61,147,561.20","-55,358,881.84","-82,291,246.80","-47,127,107.26","-27,789,536.20","-85,412,344.84","-84,782,949.75","-48,998,450.49","-28,882,664.61","-70,760,881.29","-54,145,395.30","3,981,802.04","-34,736,344.62"
分配股利、利润或偿还利息支付的现金,"10,629,063.33","6,000,000.00","8,000,000.00",,"10,235,542.66","10,249,630.99","10,249,630.99",,"24,000,000.00","24,000,000.00","24,000,000.00",,"9,694,612.50","10,211,537.51","10,884,345.36","454,769.55","6,788,135.44","8,655,637.78","13,384,086.90","4,242,676.02"
收回投资收到的现金,,,,,,,,,,,,"4,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,"80,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"33,629,063.33","6,000,000.00","8,000,000.00",,"20,235,542.66","28,149,630.99","28,149,630.99",,"24,000,000.00","24,000,000.00","24,000,000.00",,"9,694,612.50","10,211,537.51","42,884,345.36","454,769.55","26,788,135.44","58,655,637.78","117,773,121.60","23,322,676.02"
处置固定资产、无形资产和其他长期资产收回的现金净额,"8,000.00","12,240.00","5,300.00","8,768.00","8,768.00","8,768.00","8,768.00",,,,"44,201.00",,,,,"18,000.00","19,950.00","20,550.00","43,120.00","18,400.00"
筹资活动产生的现金流量净额,"-30,629,063.33","-6,000,000.00","-8,000,000.00","10,000,000.00","176,378,557.34","165,074,469.01","165,074,469.01",,"-24,000,000.00","-24,000,000.00","-19,100,000.00",,"10,305,387.50","31,828,462.49","39,455,654.64","-454,769.55","68,300,899.26","79,853,396.92","69,245,913.10","30,447,317.98"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,"-5,619,521.65","-4,604,321.65",
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"8,000.00","12,240.00","5,300.00","8,768.00","8,768.00","8,768.00","8,768.00",,,,"44,201.00","4,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","18,000.00","19,950.00","-5,598,971.65","-4,561,201.65","18,400.00"
五、现金及现金等价物净增加额,"-17,037,590.22","3,535,518.64","22,653,836.49","-55,302,014.48","114,401,249.51","126,384,562.16","168,319,796.67","-69,254,499.77","-89,081,076.64","-121,405,695.83","-83,469,835.02","-25,721,565.03","-81,132,073.06","-80,294,720.43","-39,373,895.45","-37,501,497.18","-66,502,357.58","-45,271,562.50","-11,517,336.20","-15,262,299.40"
购建固定资产、无形资产和其他长期资产支付的现金,"14,909,516.79","23,498,972.40","10,681,681.18","1,845,279.73","2,796,765.53","3,950,693.78","11,961,455.18","3,106,938.57","4,722,194.80","10,114,449.03","12,286,928.76","1,932,028.83","3,318,618.32","5,116,395.77","7,607,262.20","712,063.02","2,904,572.21","3,822,839.13","16,546,096.35","5,991,672.76"
期初现金及现金等价物余额,"66,179,436.73","49,141,846.51","52,677,365.15","75,331,201.64","75,331,201.64","75,331,201.64","75,331,201.64","243,650,998.31","243,650,998.31","243,650,998.31","243,650,998.31","160,181,163.29","160,181,163.29","160,181,163.29","160,181,163.29","120,807,267.84","120,807,267.84","120,807,267.84","120,807,267.84","109,289,931.64"
投资支付的现金,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"18,000,000.00","18,000,000.00","7,470,000.00","18,410,000.00","18,810,000.00","14,870,000.00","5,000,000.00"
期末现金及现金等价物余额,"49,141,846.51","52,677,365.15","75,331,201.64","20,029,187.16","189,732,451.15","201,715,763.80","243,650,998.31","174,396,498.54","154,569,921.67","122,245,302.48","160,181,163.29","134,459,598.26","79,049,090.23","79,886,442.86","120,807,267.84","83,305,770.66","54,304,910.26","75,535,705.34","109,289,931.64","94,027,632.24"
