科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,235,655,868.23","2,480,374,462.58","3,146,341,950.98","684,535,162.68","1,475,239,037.68","2,567,430,947.39","3,726,334,000.44","687,782,640.98","1,485,796,595.22"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,,,,,,,,,
支付其他与投资活动有关的现金,,,,,"800,000,000.00","1,180,000,000.00","2,511,000,000.00","840,000,000.00","1,422,000,000.00"
收到其他与经营活动有关的现金,"29,278,073.99","195,709,832.78","68,397,814.73","46,105,066.03","50,240,093.74","69,236,426.08","191,730,755.49","34,686,797.91","62,677,313.45"
投资活动现金流出小计,"33,907,728.17","109,006,009.15","329,214,469.32","52,829,098.04","874,197,254.53","1,280,559,742.43","2,659,741,242.31","874,649,519.76","1,474,597,986.16"
经营活动现金流入小计,"2,264,933,942.22","2,676,084,295.36","3,214,739,765.71","730,640,228.71","1,525,479,131.42","2,636,667,373.47","3,918,064,755.93","722,469,438.89","1,548,473,908.67"
投资活动产生的现金流量净额,"-33,717,928.17","-108,988,082.68","-329,026,768.69","-52,829,098.04","-573,102,049.05","-777,588,482.94","-1,010,398,147.21","178,148,513.12","315,015,212.30"
购买商品、接受劳务支付的现金,"1,902,135,177.12","2,041,583,286.32","2,707,314,108.25","748,882,524.17","1,785,570,327.23","2,653,370,369.68","3,579,767,695.60","664,723,845.19","1,643,975,462.12"
吸收投资收到的现金,,,,"1,130,740,000.00","1,130,740,000.00","1,130,740,000.00","1,130,740,000.00",,
支付给职工以及为职工支付的现金,"30,625,030.38","37,302,152.44","44,210,403.11","17,347,725.26","27,417,542.37","39,879,658.31","54,085,421.65","19,498,764.42","31,686,161.35"
取得借款收到的现金,,,,,,,,,
支付的各项税费,"57,077,958.29","97,200,536.89","124,255,584.00","16,191,780.36","61,713,303.67","78,222,599.35","90,575,497.96","11,462,283.45","38,969,753.59"
收到其他与筹资活动有关的现金,,,,,,,,,
支付其他与经营活动有关的现金,"181,273,130.93","175,259,292.51","199,272,853.22","54,191,812.89","121,602,336.15","157,566,693.50","253,655,550.53","96,939,258.02","180,659,448.85"
筹资活动现金流入小计,,,,"1,130,740,000.00","1,130,740,000.00","1,130,740,000.00","1,130,740,000.00",,
经营活动现金流出小计,"2,171,111,296.72","2,351,345,268.16","3,075,052,948.58","836,613,842.68","1,996,303,509.42","2,929,039,320.84","3,978,084,165.74","792,624,151.08","1,895,290,825.91"
偿还债务支付的现金,"51,200,520.00",,,,,,,,
经营活动产生的现金流量净额,"93,822,645.50","324,739,027.20","139,686,817.13","-105,973,613.97","-470,824,378.00","-292,371,947.37","-60,019,409.81","-70,154,712.19","-346,816,917.24"
分配股利、利润或偿还利息支付的现金,"10,623,408.32","26,509,704.00","36,185,681.80","4,304,614.36","4,304,614.20","4,304,614.20","42,975,978.00",,"40,200,165.07"
收回投资收到的现金,,,,,,,,,
支付其他与筹资活动有关的现金,,,,"100,000.00","9,737,500.00","9,737,500.00","9,737,500.00",,
取得投资收益收到的现金,,,,,"1,095,205.48","2,965,068.49","12,336,904.10","8,798,032.88","15,563,010.91"
筹资活动现金流出小计,"61,823,928.32","26,509,704.00","36,185,681.80","4,404,614.36","14,042,114.20","14,042,114.20","52,713,478.00",,"40,200,165.07"
处置固定资产、无形资产和其他长期资产收回的现金净额,"189,800.00","17,926.47","187,700.63",,,"6,191.00","6,191.00",,"60,050,187.55"
筹资活动产生的现金流量净额,"-61,823,928.32","-26,509,704.00","-36,185,681.80","1,126,335,385.64","1,116,697,885.80","1,116,697,885.80","1,078,026,522.00",,"-40,200,165.07"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,160.40,"-7,491.45",-462.28,,"145,037.02","-879,421.96","-1,173,138.07","-834,828.81","-149,606.11"
收到其他与投资活动有关的现金,,,,,"300,000,000.00","500,000,000.00","1,637,000,000.00","1,044,000,000.00","1,714,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"189,800.00","17,926.47","187,700.63",,"301,095,205.48","502,971,259.49","1,649,343,095.10","1,052,798,032.88","1,789,613,198.46"
五、现金及现金等价物净增加额,"-1,719,050.59","189,233,749.07","-225,526,095.64","967,532,673.63","72,916,495.77","45,858,033.53","6,435,826.91","107,158,972.12","-72,151,476.12"
购建固定资产、无形资产和其他长期资产支付的现金,"33,907,728.17","109,006,009.15","329,214,469.32","52,829,098.04","74,197,254.53","100,559,742.43","148,741,242.31","34,649,519.76","52,597,986.16"
期初现金及现金等价物余额,"225,836,451.90","224,117,401.31","413,351,150.38","193,877,274.74","187,825,054.74","187,825,054.74","187,825,054.74","194,260,881.65","194,260,881.65"
投资支付的现金,,,,,,,,,
期末现金及现金等价物余额,"224,117,401.31","413,351,150.38","187,825,054.74","1,161,409,948.37","260,741,550.51","233,683,088.27","194,260,881.65","301,419,853.77","122,109,405.53"
