科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"692,106,808.32","840,533,875.53","925,344,873.33","482,622,770.11","944,532,614.90","111,929,493.29","338,668,925.02","522,173,067.48","830,049,749.22","160,394,222.47","472,833,427.01","781,445,774.03","1,398,023,787.67","362,780,114.73","954,698,671.49","1,614,409,735.65","2,885,237,602.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"-3,998,504.54","-3,998,504.54","-3,998,504.54"
收到的税费返还,,,,,,,,,,,,,"35,570,992.60","17,523,446.98","55,786,358.81","71,485,262.29","86,330,702.77"
支付其他与投资活动有关的现金,,,,,,,,,"80,000,000.00",,"80,000,000.00","110,000,000.00","240,000,000.00","30,000,000.00","80,000,000.00","80,000,000.00","157,990,000.00"
收到其他与经营活动有关的现金,"4,893,727.89","3,664,429.11","8,674,051.54","1,973,152.30","7,046,493.52","933,816.86","3,761,899.11","7,836,757.02","10,381,387.86","1,440,808.46","3,744,970.07","4,988,675.21","12,203,414.64","1,867,626.50","9,464,504.80","75,650,167.00","453,889,638.50"
投资活动现金流出小计,"6,910,648.50","8,658,537.48","2,762,295.52","2,015,607.13","3,313,971.28","141,656.02","1,601,121.37","17,997,750.02","111,666,791.34","2,497,957.00","86,572,163.00","137,402,973.00","271,774,543.13","79,706,626.00","170,082,661.02","210,273,639.46","293,676,380.68"
经营活动现金流入小计,"697,000,536.21","844,198,304.64","934,018,924.87","484,595,922.41","951,579,108.42","112,863,310.15","342,430,824.13","530,009,824.50","840,431,137.08","161,835,030.93","476,578,397.08","786,434,449.24","1,445,798,194.91","382,171,188.21","1,019,949,535.10","1,761,545,164.94","3,425,457,943.86"
投资活动产生的现金流量净额,"-6,910,648.50","-8,658,537.48","-2,762,295.52","-2,015,607.13","-3,313,971.28","-141,656.02","-1,601,121.37","-17,997,750.02","-111,666,791.34","-2,246,450.15","-5,215,998.61","-25,799,779.14","-51,024,543.13","-29,294,434.22","-38,407,854.95","-78,598,833.39","-80,965,458.17"
购买商品、接受劳务支付的现金,"597,320,700.23","695,525,713.44","767,445,775.99","424,750,732.54","854,887,044.17","328,815,342.58","443,483,821.82","566,689,389.98","797,529,510.78","238,634,930.86","491,337,822.54","861,418,086.15","1,237,954,346.66","429,964,115.52","1,103,747,148.22","2,010,651,094.59","3,180,599,744.66"
吸收投资收到的现金,,,,,,"376,000,000.00","376,000,000.00","376,000,000.00","376,000,000.00",,,,"400,499,954.16",,,,
支付给职工以及为职工支付的现金,"16,270,674.92","24,104,221.05","28,459,197.33","19,603,087.04","37,088,652.93","12,122,931.00","21,761,540.17","32,111,824.78","45,368,543.51","16,716,621.21","32,179,109.54","46,579,987.03","60,506,103.36","23,351,294.73","40,307,701.92","57,639,458.08","76,097,005.77"
取得借款收到的现金,"82,000,000.00","110,000,000.00","173,000,000.00","85,000,000.00","275,000,000.00","30,000,000.00","30,000,000.00","50,000,000.00","143,000,000.00","60,000,000.00","80,000,000.00","232,000,000.00","312,000,000.00","160,000,000.00","350,000,000.00","497,623,169.47","577,284,359.02"
支付的各项税费,"31,554,769.29","51,861,936.79","54,672,228.47","30,489,837.79","60,053,811.62","8,552,751.84","31,331,348.56","39,698,042.83","48,750,885.79","6,069,853.79","39,377,788.88","44,415,606.86","105,952,893.63","42,669,751.58","54,320,236.24","49,775,065.30","71,981,276.35"
收到其他与筹资活动有关的现金,"8,400,000.00",253.52,"15,050,514.56",,"15,000,000.00","61,000,000.00","10,300,000.00","10,300,000.00","10,300,000.00",,,"61,190.13",,,"11,000,000.00","11,000,000.00","11,000,000.00"
支付其他与经营活动有关的现金,"27,435,767.76","41,832,715.94","39,822,505.96","20,975,755.29","39,886,990.75","10,892,333.95","23,406,112.91","33,825,919.46","51,419,694.76","15,611,006.54","46,753,043.78","58,303,170.75","71,563,647.93","14,874,883.33","41,860,131.64","68,820,486.69","452,285,458.66"
筹资活动现金流入小计,"90,400,000.00","110,000,253.52","188,050,514.56","85,000,000.00","290,000,000.00","467,000,000.00","416,300,000.00","436,300,000.00","529,300,000.00","60,000,000.00","80,000,000.00","232,061,190.13","712,499,954.16","160,000,000.00","361,000,000.00","558,623,169.47","638,284,359.02"
经营活动现金流出小计,"672,581,912.20","813,324,587.22","890,399,707.75","495,819,412.66","991,916,499.47","360,383,359.37","519,982,823.46","672,325,177.05","943,068,634.84","277,032,412.40","609,647,764.74","1,010,716,850.79","1,475,976,991.58","510,860,045.16","1,240,235,218.02","2,186,886,104.66","3,780,963,485.44"
偿还债务支付的现金,"22,000,000.00","95,875,000.00","140,000,000.00","75,000,000.00","228,000,000.00",,"10,000,000.00","170,000,000.00","220,000,000.00",,,"40,000,000.00","153,000,000.00","177,000,000.00","257,850,000.00","373,050,000.00","404,250,000.00"
