科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"469,255,006.98","889,540,343.48","1,240,844,150.83","164,368,168.69","289,566,192.07","391,503,588.85","607,229,533.98","38,506,687.13","146,302,998.31","381,798,006.27","696,161,509.21","91,465,583.54","233,503,034.52","448,718,922.96"
二、营业利润,"49,117,188.96","86,835,500.75","93,147,101.58","12,120,548.15","7,633,979.66","773,368.25","23,664,773.47","-17,430,030.16","-36,076,147.29","-8,136,978.85","13,418,939.47","-6,273,234.25","-34,495,872.84","-23,682,071.28"
减:营业成本,"319,441,061.87","610,125,182.04","906,333,723.96","122,145,961.25","219,110,336.70","298,174,202.02","445,695,307.50","24,658,861.45","115,118,227.15","292,443,148.90","528,865,722.22","67,136,249.98","182,482,215.92","350,833,661.35"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"2,811,481.00","3,170,740.15","5,966,139.01","2,421,821.79","3,958,865.99","4,608,725.99","5,191,721.70","1,823,073.60","1,975,683.20","2,534,139.57","6,408,905.34","760,055.83","2,353,024.46","3,655,938.05"
营业外收入,"2,022,758.28","2,352,744.33","1,487,099.18","1,077,585.00","3,398,039.23","3,531,257.70","3,752,639.06","96,068.83","257,943.84","1,194,987.18","1,391,624.73","8,030,683.95","197,542.78","470,584.82"
销售费用,"28,749,732.91","63,249,842.39","91,597,314.03","8,430,738.13","10,451,210.40","22,685,243.92","42,044,952.76","11,202,333.83","25,825,016.22","32,197,794.84","37,620,693.58","6,056,419.73","12,699,974.08","20,570,350.10"
减:营业外支出,"354,348.69","892,621.57","2,430,604.77","1,305.98","3,559.31","3,759.31","4,135,740.94","193,458.89","760,125.91","1,791,887.13","1,444,155.29","138,784.54","1,087,206.88","1,344,174.60"
管理费用,"47,557,220.22","86,981,013.50","101,027,439.20","24,267,809.61","41,037,415.00","58,220,953.16","74,099,303.42","18,934,830.79","36,293,300.16","59,424,030.51","81,083,396.72","26,133,159.25","49,703,956.28","69,927,368.37"
其中:非流动资产处置净损失,"145,353.69","85,978.99","2,337,392.77",905.98,"2,209.31","2,209.31","2,209.31",,,,"33,313.39",,"994,796.07","1,061,508.72"
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"14,662,932.61","22,100,837.97","26,769,758.51","7,570,815.85","15,902,700.38","20,594,014.64","25,015,751.11","4,993,923.52","10,787,298.47","15,215,298.64","20,099,791.26","6,008,206.03","14,912,884.35","24,252,749.45"
三、利润总额,"50,785,598.55","88,295,623.51","92,203,595.99","13,196,827.17","11,028,459.58","4,300,866.64","23,281,671.59","-17,527,420.22","-36,578,329.36","-8,733,878.80","13,366,408.91","1,618,665.16","-35,385,536.94","-24,555,661.06"
资产减值损失,"6,915,389.41","17,077,226.68","16,667,448.27","-12,735,459.28","-9,773,830.12","-13,312,838.57","-5,356,499.88","-5,723,249.06","-4,052,781.63","-6,871,290.03","16,692,546.70","-8,394,775.65","6,140,009.96","3,390,634.88"
减:所得税,"7,180,710.56","10,616,679.46","12,095,455.09","2,639,532.23","888,340.92","-836,811.05","2,378,424.83","717,411.88","-5,105,406.35","-2,083,841.24","-931,081.32","697,088.98","-7,544,559.05","-2,455,341.92"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,,,"664,773.73","-145,933.19","-1,245,514.06","240,080.56","3,125,776.10","-46,943.16","3,567,597.97","5,008,137.31","8,028,486.08","-39,502.62","293,157.69","229,707.96"
四、净利润,"43,604,887.99","77,678,944.05","80,108,140.90","10,557,294.94","10,140,118.66","5,137,677.69","20,903,246.76","-18,244,832.10","-31,472,923.01","-6,650,037.56","14,297,490.23","921,576.18","-27,840,977.89","-22,100,319.14"
其中:对联营企业和合营企业的投资权益,,,,"-145,933.19","-1,245,514.06","240,080.56","3,125,776.10","-46,943.16","3,567,597.97","5,008,137.31","336,245.93","-39,502.62","293,157.69","229,707.96"
归属于母公司所有者的净利润,"43,604,887.99","77,678,944.05","80,108,140.90","10,557,294.94","10,140,118.66","5,137,677.69","20,903,246.76","-18,244,832.10","-31,472,923.01","-6,650,037.56","13,116,505.74","921,576.18","-28,734,070.34","-26,014,624.90"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,"1,180,984.49",,"893,092.45","3,914,305.76"
