科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"102,318,194.52","93,495,619.04","105,490,539.58","90,866,340.91","95,138,270.76","413,840,662.56","142,861,226.06","117,545,776.19","59,247,094.13","112,272,151.27","74,600,660.77"
短期借款,"30,000,000.00","35,000,000.00","55,000,000.00","141,000,000.00","141,000,000.00","40,000,000.00","40,000,000.00","30,000,000.00","10,000,000.00",,
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"1,368,186.55","1,776,933.59","1,782,846.96","4,058,434.85","20,829,600.35","284,242.14","11,854,305.81","5,578,278.63","6,543,762.04",,"58,514.81"
应付票据,"18,637,632.71","90,427,755.71","154,339,575.98","121,970,239.36","117,365,238.86","151,510,984.14","103,526,096.92","92,700,621.95","143,404,368.73","174,322,408.96","120,347,303.54"
应收账款,"171,916,739.84","216,767,212.61","249,924,349.92","370,746,430.25","376,175,985.11","329,423,267.19","312,065,543.14","323,529,302.54","339,684,031.58","292,824,273.43","342,334,590.86"
应付账款,"100,858,285.21","141,056,565.61","180,897,158.91","177,006,445.32","169,953,236.76","129,663,188.79","164,715,658.50","211,462,308.71","182,282,940.79","147,914,449.71","127,201,322.18"
预付款项,"2,319,702.65","4,403,414.19","6,926,193.87","5,792,750.22","6,621,182.46","2,401,714.94","1,913,308.20","2,494,515.73","3,667,169.49","1,625,070.52","2,330,777.78"
预收款项,,,,,,"351,892.93",,,,,
其他应收款,"5,979,624.37","12,405,343.86","13,911,494.05","15,062,768.35","12,744,999.52","12,106,531.44","16,356,012.53","19,537,740.79","18,196,768.31","8,663,808.23","16,423,850.05"
应付职工薪酬,"8,028,038.59","10,387,423.29","15,968,486.34","19,835,383.01","9,650,751.82","18,399,134.66","16,679,064.08","20,143,270.05","13,603,973.65","14,369,755.83","14,373,105.06"
应收关联公司款,,,,,,,,,,,
应交税费,"3,906,254.28","9,851,858.13","5,323,651.52","13,930,975.28","13,803,672.93","8,309,279.87","6,953,225.33","6,970,169.22","9,464,740.44","5,914,723.02","7,438,040.19"
应收利息,"124,222.22",,,,,,"1,393,992.06","1,608,812.04","1,539,635.04","713,376.24","605,745.73"
应付利息,,,,,,,,,,,
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
存货,"92,975,696.10","183,117,462.88","304,602,770.18","289,502,584.76","265,997,710.88","228,242,406.72","225,447,656.15","247,014,734.79","225,087,975.20","165,681,516.49","151,371,046.09"
其他应付款,"634,088.13","1,671,933.56","2,497,237.42","1,759,786.46","1,628,246.90","2,791,008.67","2,235,275.57","2,373,460.25","1,421,554.92","2,725,741.68","3,116,704.86"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,"3,800,000.00","2,850,000.00","2,850,000.00","3,942,000.00","3,942,000.00","3,942,000.00","3,042,000.00",,
一年内到期的非流动负债,"11,500,000.00","4,000,000.00",,,,,,,,,
