科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"103,414,357.85","112,346,347.42","145,638,709.92","66,215,671.69","107,562,459.67","162,650,205.46","32,061,158.20","88,444,740.11","137,881,652.97","192,266,759.74","33,627,891.97","82,859,615.73","138,181,151.22","204,802,037.40","47,955,544.38","108,169,447.91","168,066,267.89"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,"1,870,851.39","1,970,710.43","1,870,334.23","726,089.22","1,194,002.03","1,506,741.25",,"1,500,659.57","1,500,659.57","2,934,774.46","645,717.50","1,429,298.72","2,520,619.70","4,461,789.89",,"1,286,968.83","1,977,270.67"
支付其他与投资活动有关的现金,,,,,"1,500,000.00","1,500,000.00",,,,"249,000,000.00","90,000,000.00","181,000,000.00","206,000,000.00","389,480,182.50","93,001,746.00","338,003,800.00","437,005,443.00"
收到其他与经营活动有关的现金,"3,040,349.22","4,449,954.92","2,319,658.74","2,410,942.80","3,311,144.97","4,182,044.35","916,400.45","2,272,916.21","6,205,898.95","6,470,280.23","655,772.43","4,152,282.63","7,729,834.50","7,319,379.87","264,966.30","1,682,975.87","2,056,184.27"
投资活动现金流出小计,"1,233,363.63","13,894,972.40","2,162,568.42","1,317,248.38","15,277,583.38","15,607,518.65","619,260.00","868,712.69","3,522,930.40","254,389,494.34","97,332,613.24","191,660,463.59","234,683,808.14","444,340,994.93","102,850,438.55","356,946,916.26","467,642,609.10"
经营活动现金流入小计,"108,325,558.46","118,767,012.77","149,828,702.89","69,352,703.71","112,067,606.67","168,338,991.06","32,977,558.65","92,218,315.89","145,588,211.49","201,671,814.43","34,929,381.90","88,441,197.08","148,431,605.42","216,583,207.16","48,220,510.68","111,139,392.61","172,099,722.83"
投资活动产生的现金流量净额,"-1,233,363.63","-13,894,972.40","-2,162,568.42","-1,317,248.38","-15,277,583.38","-15,607,518.65","-619,260.00","-868,712.69","-3,522,930.40","-118,593,371.05","20,429,315.53","-22,764,800.55","-72,803,569.12","-126,002,958.05","6,152,741.70","-2,123,164.42","-13,986,770.61"
购买商品、接受劳务支付的现金,"47,640,682.37","57,192,006.29","77,721,652.37","40,641,823.07","63,472,260.06","87,371,456.14","27,839,346.23","55,816,622.22","91,815,457.61","110,835,670.00","20,560,383.89","41,623,268.39","71,563,200.34","108,515,680.93","31,100,742.38","66,553,151.37","102,622,987.54"
吸收投资收到的现金,"13,598,000.00",,,,,,"142,516,000.00","142,516,000.00","142,516,000.00","142,516,000.00",,,,,,,
支付给职工以及为职工支付的现金,"14,632,726.53","16,717,717.93","20,746,071.81","13,944,283.82","18,901,569.15","23,547,031.44","9,890,836.04","15,787,678.46","22,018,732.59","27,688,704.50","11,928,542.86","18,117,451.54","24,380,974.23","31,875,263.16","11,776,134.46","18,675,684.40","25,479,861.66"
取得借款收到的现金,,,,,,,,,,,,,,,,,
支付的各项税费,"12,152,343.99","15,557,781.99","14,255,377.77","9,379,476.54","14,300,806.06","19,044,662.29","5,938,208.04","12,088,909.16","16,677,459.63","22,191,177.19","5,221,898.03","9,872,435.12","15,996,418.39","20,086,556.93","5,741,474.45","8,422,794.31","15,058,831.33"
收到其他与筹资活动有关的现金,,,,,,,"6,500,000.00","6,500,000.00","6,500,000.00","6,500,000.00",,,,"1,000,000.00",,"1,000,000.00","1,000,000.00"
支付其他与经营活动有关的现金,"10,228,254.71","15,004,785.21","14,284,420.34","7,808,221.68","12,520,723.84","17,174,044.88","6,151,579.31","10,741,552.30","17,017,570.05","22,280,520.51","5,855,549.39","12,529,077.91","21,904,361.78","21,216,085.63","4,577,810.62","9,121,072.64","14,197,929.51"
筹资活动现金流入小计,"13,598,000.00",,,,,,"149,016,000.00","149,016,000.00","149,016,000.00","149,016,000.00",,,,"1,000,000.00",,"1,000,000.00","1,000,000.00"
经营活动现金流出小计,"84,654,007.60","104,472,291.42","127,007,522.29","71,773,805.11","109,195,359.11","147,137,194.75","49,819,969.62","94,434,762.14","147,529,219.88","182,996,072.20","43,566,374.17","82,142,232.96","133,844,954.74","181,693,586.65","53,196,161.91","102,772,702.72","157,359,610.04"
偿还债务支付的现金,,,,,,,,,,,,,,,,,
