科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"158,396,352.98","181,219,883.82","201,576,641.59","112,109,618.50",,"224,785,697.27","55,932,302.49","146,691,734.71","220,544,939.18"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,"7,327,541.24","12,601,022.27","13,468,147.31","7,897,737.73",,"16,845,819.28","2,780,595.88","8,307,252.06","12,330,655.85"
支付其他与投资活动有关的现金,,"27,300.00",,,,"2,000,000.00","20,535.00",,
收到其他与经营活动有关的现金,"3,006,367.41","6,492,644.58","3,737,492.53","2,784,504.12",,"4,662,909.78","6,808,093.30","6,367,345.40","11,125,551.93"
投资活动现金流出小计,"25,865,643.90","18,739,988.09","114,097,866.09","47,282,634.19",,"112,663,389.21","619,389,476.00","1,017,674,358.00","1,544,571,839.00"
经营活动现金流入小计,"168,730,261.63","200,313,550.67","218,782,281.43","122,791,860.35",,"246,294,426.33","65,520,991.67","161,366,332.17","244,001,146.96"
投资活动产生的现金流量净额,"-25,853,413.13","-8,529,988.09","-17,552,324.73","-2,001,293.44","-32,001,300.00","-7,107,264.49","-533,348,290.69","-561,652,473.32","-646,426,674.06"
购买商品、接受劳务支付的现金,"64,787,745.55","52,332,145.53","52,824,714.44","29,605,310.48",,"35,042,075.49","17,315,709.54","37,780,199.31","65,410,446.95"
吸收投资收到的现金,"540,000.00",,,,,"420,035,000.00",,,
支付给职工以及为职工支付的现金,"27,512,622.89","33,280,264.03","38,757,061.05","26,109,770.24",,"48,373,405.28","20,812,119.90","34,755,653.86","48,391,989.80"
取得借款收到的现金,"10,000,000.00",,,,,,,,
支付的各项税费,"23,884,760.32","39,098,884.43","37,310,469.13","20,179,791.33",,"43,629,428.31","12,321,881.98","24,554,070.27","39,691,974.31"
收到其他与筹资活动有关的现金,"2,473,000.00","1,812,540.00","3,641,145.00",,,"3,500,000.00",,"907,100.00",
支付其他与经营活动有关的现金,"11,380,641.44","16,312,902.49","14,186,160.02","7,540,445.19",,"23,701,808.13","8,154,898.91","15,064,108.94","19,229,388.72"
筹资活动现金流入小计,"13,013,000.00","1,812,540.00","3,641,145.00",,,"423,535,000.00",,"907,100.00",
经营活动现金流出小计,"127,565,770.20","141,024,196.48","143,078,404.64","83,435,317.24",,"150,746,717.21","58,604,610.33","112,154,032.38","172,723,799.78"
偿还债务支付的现金,,"10,000,000.00",,,,,,,
经营活动产生的现金流量净额,"41,164,491.43","59,289,354.19","75,703,876.79","39,356,543.11","55,061,300.00","95,547,709.12","6,916,381.34","49,212,299.79","71,277,347.18"
分配股利、利润或偿还利息支付的现金,"5,473,277.77","8,555,211.11","17,017,800.00","10,993,800.00",,"10,993,800.00",,"16,716,600.00","16,716,600.00"
收回投资收到的现金,,"10,000,000.00","96,000,000.00","45,000,000.00",,"105,000,000.00","85,000,000.00","452,000,000.00","887,000,000.00"
支付其他与筹资活动有关的现金,"711,338.30",,,,,"7,408,540.00","4,800,000.50","4,853,714.50","4,853,714.50"
取得投资收益收到的现金,,"210,000.00","536,370.72","277,340.75",,"546,647.48","436,685.31","4,017,234.68","10,233,414.94"
筹资活动现金流出小计,"6,184,616.07","18,555,211.11","17,017,800.00","10,993,800.00",,"18,402,340.00","4,800,000.50","21,570,314.50","21,570,314.50"
处置固定资产、无形资产和其他长期资产收回的现金净额,"12,230.77",,"9,170.64","4,000.00",,"9,477.24","4,500.00","4,650.00","4,650.00"
筹资活动产生的现金流量净额,"6,828,383.93","-16,742,671.11","-13,376,655.00","-10,993,800.00","-10,993,800.00","405,132,660.00","-4,800,000.50","-20,663,214.50","-21,570,314.50"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,732.10,"-49,906.32","-18,203.73","16,526.70",,"41,249.19","2,788.45","32,256.53","105,481.15"
收到其他与投资活动有关的现金,,,,,,,"600,000.00",,"907,100.00"
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"12,230.77","10,210,000.00","96,545,541.36","45,281,340.75",,"105,556,124.72","86,041,185.31","456,021,884.68","898,145,164.94"
五、现金及现金等价物净增加额,"22,140,194.33","33,966,788.67","44,756,693.33","26,377,976.37","12,091,300.00","493,614,353.82","-531,229,121.40","-533,071,131.50","-596,614,160.23"
购建固定资产、无形资产和其他长期资产支付的现金,"25,865,643.90","8,712,688.09","18,097,866.09","2,282,634.19",,"5,663,389.21","37,368,941.00","37,674,358.00","50,071,839.00"
期初现金及现金等价物余额,"39,935,331.47","62,075,525.80","96,042,314.47","140,799,007.80",,"140,799,007.80","634,413,361.62","634,413,361.62","634,413,361.62"
投资支付的现金,,"10,000,000.00","96,000,000.00","45,000,000.00",,"105,000,000.00","582,000,000.00","980,000,000.00","1,494,500,000.00"
期末现金及现金等价物余额,"62,075,525.80","96,042,314.47","140,799,007.80","167,176,984.17",,"634,413,361.62","103,184,240.22","101,342,230.12","37,799,201.39"
