科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"304,873,076.47","386,301,202.39","494,376,926.81","81,443,648.01","243,010,184.88","403,697,370.74","681,574,559.62"
取得子公司及其他营业单位支付的现金净额,"9,844,810.64",,,,,,
收到的税费返还,"13,324,550.18","11,161,260.81","19,234,402.81","4,792,578.87","14,286,513.07","14,752,287.73","30,435,312.48"
支付其他与投资活动有关的现金,,,,,,,"220,000,000.00"
收到其他与经营活动有关的现金,"9,759,279.36","13,974,866.18","15,529,604.38","26,011,923.71","20,450,322.01","59,155,295.70","48,939,948.68"
投资活动现金流出小计,"17,411,609.38","7,051,635.79","25,401,825.86","1,197,021.00","11,900,399.00","78,114,723.85","268,614,558.75"
经营活动现金流入小计,"327,956,906.01","411,437,329.38","529,140,934.00","112,248,150.59","277,747,019.96","477,604,954.17","760,949,820.78"
投资活动产生的现金流量净额,"-17,263,839.38","-7,051,635.79","-25,337,618.25","-1,197,021.00","-11,900,399.00","-78,114,723.85","-267,945,162.75"
购买商品、接受劳务支付的现金,"189,538,324.94","175,500,022.69","227,195,036.66","69,520,941.07","155,297,508.06","251,182,601.60","341,141,212.75"
吸收投资收到的现金,"26,400,000.00","37,695,439.00",,"344,557,700.00","344,557,700.00","344,557,700.00","464,451,666.38"
支付给职工以及为职工支付的现金,"64,791,805.89","90,610,670.94","107,818,615.11","38,659,934.16","65,262,252.64","95,398,120.41","144,481,687.88"
取得借款收到的现金,"24,700,000.00","14,970,000.00","15,000,000.00",,"5,000,000.00","30,000,000.00","30,000,000.00"
支付的各项税费,"26,368,310.48","31,498,979.52","47,012,277.98","29,572,744.69","48,502,964.20","65,832,761.73","68,071,938.96"
收到其他与筹资活动有关的现金,"16,976,653.00",,,,,,
支付其他与经营活动有关的现金,"50,188,408.97","56,884,278.48","86,702,568.47","42,353,768.57","62,023,498.46","122,903,383.63","127,511,623.44"
筹资活动现金流入小计,"68,076,653.00","52,665,439.00","15,000,000.00","344,557,700.00","349,557,700.00","374,557,700.00","494,451,666.38"
经营活动现金流出小计,"330,886,850.28","354,493,951.63","468,728,498.22","180,107,388.49","331,086,223.36","535,316,867.37","681,206,463.03"
偿还债务支付的现金,"10,000,000.00","34,680,000.00","19,990,000.00",,,,
经营活动产生的现金流量净额,"-2,929,944.27","56,943,377.75","60,412,435.78","-67,859,237.90","-53,339,203.40","-57,711,913.20","79,743,357.75"
分配股利、利润或偿还利息支付的现金,"1,856,670.01","7,403,406.27","17,909,165.36",,,,"600,541.67"
收回投资收到的现金,,,,,,,"669,396.00"
支付其他与筹资活动有关的现金,"36,692,252.00","4,535,581.30","1,050,000.00",,"15,112,690.62","15,225,065.62","11,339,690.62"
取得投资收益收到的现金,,,,,,,
筹资活动现金流出小计,"48,548,922.01","46,618,987.57","38,949,165.36",,"15,112,690.62","15,225,065.62","11,940,232.29"
处置固定资产、无形资产和其他长期资产收回的现金净额,"147,770.00",,"64,207.61",,,,
筹资活动产生的现金流量净额,"19,527,730.99","6,046,451.43","-23,949,165.36","344,557,700.00","334,445,009.38","359,332,634.38","482,511,434.09"
处置子公司及其他营业单位收到的现金净额,,,,,,,
四、汇率变动对现金的影响,"-58,780.67","-382,950.21","797,812.00","-77,474.51","-470,439.34","-1,174,235.78","-1,871,198.80"
收到其他与投资活动有关的现金,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,
投资活动现金流入小计,"147,770.00",,"64,207.61",,,,"669,396.00"
五、现金及现金等价物净增加额,"-724,833.33","55,555,243.18","11,923,464.17","275,423,966.59","268,734,967.64","222,331,761.55","292,438,430.29"
购建固定资产、无形资产和其他长期资产支付的现金,"7,566,798.74","6,382,239.79","15,201,825.86","1,197,021.00","11,900,399.00","18,114,723.85","41,966,139.66"
期初现金及现金等价物余额,"61,736,479.74","61,011,646.41","116,566,889.59","128,490,353.76","128,490,353.76","128,490,353.76","128,490,353.76"
投资支付的现金,,"669,396.00","10,200,000.00",,,"60,000,000.00","6,648,419.09"
期末现金及现金等价物余额,"61,011,646.41","116,566,889.59","128,490,353.76","403,914,320.35","397,225,321.40","350,822,115.31","420,928,784.05"
