科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"72,752,328.10","110,183,642.31","192,095,531.62","754,361,946.88","681,864,549.15","624,905,013.64"
短期借款,,,,,,
交易性金融资产,,,,,,
交易性金融负债,,,,,,
应收票据,"34,621,017.00","12,763,604.00","32,963,198.25","22,275,053.64","10,923,344.00","28,326,928.30"
应付票据,,,,,,
应收账款,"8,058,223.80","35,103,946.31","44,403,738.35","48,963,710.16","84,262,333.53","81,867,647.27"
应付账款,"6,902,240.23","11,059,498.24","8,009,116.66","7,764,256.67","7,075,743.48","18,946,646.88"
预付款项,"1,817,376.50","1,242,470.21","2,879,564.23","6,104,141.70","2,161,482.27","5,693,374.76"
预收款项,"16,754,819.06","15,846,371.64","17,266,486.96","3,717,883.28","501,780.82","4,472,182.92"
其他应收款,"2,506,918.41","5,769,697.19","5,512,669.19","4,082,777.16","1,136,173.98","3,265,126.78"
应付职工薪酬,"7,916,232.46","9,514,779.75","17,498,768.45","6,492,205.22","8,185,678.51","21,482,315.98"
应收关联公司款,,,,,,
应交税费,"5,233,062.33","4,996,212.13","8,352,034.31","11,154,291.69","4,757,971.43","5,475,967.51"
应收利息,,,,,,
应付利息,,,,,,
应收股利,,,,,,
应付股利,,,,,,
存货,"20,602,390.72","27,139,094.93","39,242,958.67","53,252,420.46","61,457,049.15","59,894,053.78"
其他应付款,"738,541.79","721,525.57","375,690.73","1,279,413.78","192,534.31","216,393.75"
其中:消耗性生物资产,,,,,,
应付关联公司款,,,,,,
一年内到期的非流动资产,,,,,,
一年内到期的非流动负债,,,,,,
其他流动资产,"1,667,313.05","502,951.29","1,093,276.97","1,093,276.97","62,002,220.06","51,103,466.09"
其他流动负债,,,,,,
流动资产合计,"142,025,567.58","192,705,406.24","318,190,937.28","890,133,326.97","903,807,152.14","855,055,610.62"
流动负债合计,"37,544,895.87","42,138,387.33","51,502,097.11","30,408,050.64","20,713,708.55","50,593,507.04"
可供出售金融资产,,,,,,
长期借款,,,,,,
持有至到期投资,,,,,,
应付债券,,,,,,
长期应收款,,,,,,
长期应付款,,,,,,
长期股权投资,,,,,,
专项应付款,,,,,,
投资性房地产,,,,,,
预计负债,,,,,,
固定资产,"4,747,785.32","8,403,417.90","12,667,548.18","13,360,132.28","13,306,274.09","17,775,247.73"
递延所得税负债,,,"102,660.42","51,920.62","83,553.88","92,759.82"
在建工程,,,,,,"89,319,145.68"
其他非流动负债,,,,,,
工程物资,,,,,,
非流动负债合计,"6,280,000.00","6,880,000.00","7,672,660.42","7,621,920.62","9,853,553.88","7,862,759.82"
固定资产清理,,,,,,
负债合计,"43,824,895.87","49,018,387.33","59,174,757.53","38,029,971.26","30,567,262.43","58,456,266.86"
生产性生物资产,,,,,,
实收资本(或股本),"33,333,300.00","33,333,300.00","33,333,300.00","44,444,800.00","44,444,800.00","44,444,800.00"
油气资产,,,,,,
资本公积,"12,852,018.97","19,880,594.98","26,909,170.99","584,562,243.21","586,319,387.24","588,076,531.25"
无形资产,"2,720,313.61","5,018,189.27","3,323,096.32","5,146,129.68","4,486,815.61","9,758,073.51"
盈余公积,"3,326,634.64","7,382,581.55","16,666,650.00","16,666,650.00","16,666,650.00","16,666,650.00"
开发支出,,,,,,
减:库存股,,,,,,
商誉,,,,,,
未分配利润,"57,724,216.13","91,027,332.52","193,583,947.59","220,891,590.84","240,178,978.20","263,204,022.58"
长期待摊费用,,,,,,"1,730,907.82"
少数股东权益,,"4,962,215.15","2,981,198.92","2,573,068.50","2,142,454.93","1,727,699.40"
递延所得税资产,"1,497,528.95","217,091.12",,,,
外币报表折算价差,,,,,,
其他非流动资产,,,,,,
非正常经营项目收益调整,,,,,,
非流动资产合计,"8,965,627.88","13,638,698.29","15,990,644.50","18,506,261.96","17,793,089.70","118,583,374.74"
所有者权益(或股东权益)合计,"107,166,299.59","157,325,717.20","275,006,824.25","870,609,617.67","891,032,979.41","915,182,718.50"
资产总计,"150,991,195.46","206,344,104.53","334,181,581.78","908,639,588.93","921,600,241.84","973,638,985.36"
负债和所有者(或股东权益)合计,"150,991,195.46","206,344,104.53","334,181,581.78","908,639,588.93","921,600,241.84","973,638,985.36"
