科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"166,741,494.12","174,689,748.74","182,139,054.54",,"646,349,119.58","253,271,949.41","233,287,051.79","391,258,246.35","380,278,371.74","478,955,818.91","440,889,777.26","421,916,988.97","221,959,726.44","1,070,453,417.81"
短期借款,"252,698,637.82","132,973,122.11","111,543,344.25",,"99,646,144.25","68,000,000.00","46,680,820.42","42,000,000.00","95,049,596.18","99,414,236.85","65,659,836.95",,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,"547,950.00","2,195,400.00","1,447,200.00","863,100.00",,,,,
应收票据,"15,463,284.25","38,255,040.91","21,407,793.80",,"26,081,774.99","21,708,431.49","49,597,417.49","37,741,478.87","79,145,809.63","108,646,145.85","47,378,414.83","112,571,087.85","44,213,806.50","124,659,366.47"
应付票据,"70,943,089.28","135,981,518.17","254,262,159.05",,"175,242,849.43","157,865,529.45","168,213,642.34","194,910,333.17","226,078,964.26","252,820,586.62","264,238,914.06","295,968,686.89","253,548,938.10","272,848,135.61"
应收账款,"306,942,594.75","347,654,107.70","385,156,130.56",,"391,792,273.90","479,675,574.41","487,192,611.37","506,129,359.82","520,731,827.49","701,547,098.60","708,626,440.75","592,447,540.00","764,670,561.96","889,672,948.78"
应付账款,"263,579,361.44","250,990,837.47","292,293,507.10",,"273,857,657.40","416,493,807.81","406,050,877.46","426,319,821.01","438,214,797.14","552,634,051.20","448,772,299.22","403,137,378.07","413,291,552.73","534,343,601.06"
预付款项,"4,559,850.66","11,168,748.00","662,657.40",,"522,504.85","2,957,843.18","2,416,962.90","5,312,146.39","2,272,442.74","3,389,304.20","4,014,862.68","6,441,323.52","5,986,401.84","8,343,698.16"
预收款项,"34,706.59","772,748.88","532,258.58",,"1,042,783.83","493,019.69","535,861.23","1,011,296.59","1,922,371.75","1,292,777.27","1,285,272.19","2,665,767.91","1,527,334.02","1,859,242.82"
其他应收款,"2,860,921.43","7,757,755.41","20,676,800.96",,"4,658,478.12","26,818,111.36","16,103,815.67","9,684,693.96","7,646,701.83","29,783,086.14","33,258,324.14","10,477,594.90","11,978,744.01","10,547,798.94"
应付职工薪酬,"9,422,219.47","11,060,077.92","16,210,389.23",,"17,458,039.95","20,034,120.22","19,761,491.86","18,826,115.46","21,749,623.36","28,052,374.97","26,477,861.03","22,063,974.55","25,961,579.32","25,863,537.06"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"7,023,529.46","7,570,624.64","11,314,825.57",,"10,464,905.47","8,902,796.65","10,941,055.04","15,882,075.73","14,983,936.43","19,897,626.85","31,296,414.59","33,463,231.97","20,998,186.18","28,396,218.81"
应收利息,,,,,,,,,,,,,,"5,435,000.00"
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,"1,013,792.36","718,742.36","718,742.36","718,742.36","710,342.36","24,999,054.86"
存货,"148,868,822.55","102,705,842.42","122,069,464.62",,"136,359,121.11","139,558,609.49","136,087,989.89","145,264,891.34","144,469,866.13","176,993,233.60","201,169,682.41","232,060,363.31","252,406,806.78","251,242,095.09"
其他应付款,"8,765,779.80","6,206,921.77","10,525,300.64",,"14,620,330.11","10,138,052.24","73,693,755.84","74,719,243.42","76,255,973.18","69,804,931.58","65,886,595.23","65,999,993.82","64,406,538.43","42,077,021.27"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,"255,603.92",,,,,,,,,,,,
其他流动资产,"31,372,871.17","15,461,387.58","32,659,251.16",,"29,884,334.60","301,255,785.58","370,972,625.65","244,021,918.34","239,440,894.26","42,860,329.78","49,839,971.87","12,113,913.36","22,590,172.14","40,968,029.86"
其他流动负债,,,"1,150,000.00",,"1,150,000.00",,,,,,,,,
流动资产合计,"676,809,838.93","697,692,630.76","764,771,153.04","752,057,500.00","1,235,647,607.15","1,225,246,304.92","1,295,658,474.76","1,339,412,735.07","1,373,985,913.82","1,542,175,017.08","1,485,177,473.94","1,388,028,811.91","1,323,806,219.67","2,401,322,355.11"
流动负债合计,"612,467,323.86","545,811,454.88","697,831,784.42","664,052,200.00","593,482,710.44","682,475,276.06","728,072,904.19","775,116,085.38","876,132,154.66","1,024,635,327.70","904,335,935.63","824,017,775.57","780,444,471.14","930,386,811.49"
可供出售金融资产,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,"8,072,117.73","381,560.46",,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,"2,956,882.29","1,330,064.31",,,,,,,,,,,,
固定资产,"375,262,330.07","364,817,452.02","448,512,961.42",,"449,959,253.30","592,675,982.42","602,568,687.93","648,321,691.17","710,802,102.15","730,663,286.57","748,867,604.05","743,447,631.71","742,647,549.35","738,364,937.31"
递延所得税负债,,,,,,,"675,754.34","871,262.23","1,197,985.57",,,,,
在建工程,,"3,220,150.00","27,575,558.60",,"27,659,558.60","34,659,558.60","40,507,326.91","7,419,267.96","6,105,484.62","42,992,025.14","58,071,213.00","74,258,772.92","86,368,599.48","103,063,094.62"
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,"11,529,000.02","3,511,624.77","1,600,000.00",,"2,320,000.00","5,839,828.54","6,829,502.32","6,969,313.59","7,240,340.31","6,136,658.12","9,709,052.45","9,582,719.48","13,779,004.69","15,002,671.72"
固定资产清理,,,"573,782.70",,"1,467,583.26","1,467,583.26","111,367.20",,"145,735.39","16,436.24","16,436.24","24,089.80","108,690.65","49,180.53"
负债合计,"623,996,323.88","549,323,079.65","699,431,784.42","665,772,200.00","595,802,710.44","688,315,104.60","734,902,406.51","782,085,398.97","883,372,494.97","1,030,771,985.82","914,044,988.08","833,600,495.05","794,223,475.83","945,389,483.21"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"110,000,000.00","110,000,000.00","110,000,000.00",,"146,670,000.00","146,670,000.00","149,560,000.00","149,560,000.00","373,900,000.00","374,668,500.00","374,677,500.00","374,677,500.00","374,537,500.00","427,475,542.00"
油气资产,,,,,,,,,,,,,,
资本公积,"232,184,172.26","232,184,172.26","232,184,172.26",,"728,784,126.26","729,043,371.57","788,985,143.57","788,985,143.57","564,645,143.57","573,236,983.57","574,364,569.82","574,364,569.82","573,330,249.82","1,592,616,391.79"
无形资产,"12,385,750.91","12,394,708.92","18,161,344.19",,"20,773,436.37","21,553,028.12","21,241,256.02","21,648,997.52","21,302,178.59","21,061,727.17","20,709,309.94","20,522,134.89","24,656,000.85","24,377,810.11"
盈余公积,"5,907,394.74","11,877,606.00","19,237,212.70",,"23,626,765.92","26,063,460.39","28,634,297.94","31,701,008.44","35,989,615.89","41,228,553.85","46,927,237.23","50,190,102.69","55,601,325.12","61,773,899.08"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,"60,603,300.00","60,603,300.00","60,603,300.00","51,782,650.00","51,184,210.00","51,184,210.00","50,009,890.00","27,799,150.00"
商誉,,,,,,,,,,,,,,
未分配利润,"95,500,328.44","178,061,529.01","224,359,708.75",,"282,270,266.20","311,352,408.41","341,502,345.80","378,393,499.21","376,995,827.00","436,495,293.59","502,934,584.41","545,463,869.71","609,000,797.19","553,265,397.66"
长期待摊费用,,,,,"1,100,000.00","1,946,961.69","2,420,109.79","2,437,181.68","11,262,127.90","13,332,244.95","16,244,255.97","15,142,853.87","14,043,042.77","14,490,815.86"
少数股东权益,,,,,,,,,,,,,,
递延所得税资产,"3,110,801.46","3,302,539.33","3,765,792.90",,"4,067,811.54","5,181,157.29","6,649,745.95","5,637,765.14","5,677,395.50","7,062,212.26","7,689,808.91","6,514,230.08","8,533,019.85","10,602,871.34"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,"21,831,643.76",,"36,451,679.39","18,676,324.21","13,799,161.91","45,230,543.02","45,012,050.10","47,301,185.18","24,964,533.14","79,192,125.36","156,650,967.98","260,634,847.23"
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"390,758,882.44","383,734,850.27","520,421,083.57",,"541,479,322.46","676,160,595.59","687,297,655.71","730,695,446.49","800,307,074.25","862,429,117.51","876,563,161.25","939,101,838.63","1,033,007,870.93","1,151,583,557.00"
所有者权益(或股东权益)合计,"443,572,397.49","532,104,401.38","585,760,452.19","613,175,200.00","1,181,324,219.17","1,213,091,795.91","1,248,053,723.96","1,288,022,782.59","1,290,920,493.10","1,373,832,148.77","1,447,695,647.11","1,493,530,155.49","1,562,590,614.77","2,607,516,428.90"
资产总计,"1,067,568,721.37","1,081,427,481.03","1,285,192,236.61","1,278,947,400.00","1,777,126,929.61","1,901,406,900.51","1,982,956,130.47","2,070,108,181.56","2,174,292,988.07","2,404,604,134.59","2,361,740,635.19","2,327,130,650.54","2,356,814,090.60","3,552,905,912.11"
负债和所有者(或股东权益)合计,"1,067,568,721.37","1,081,427,481.03","1,285,192,236.61","1,278,947,400.00","1,777,126,929.61","1,901,406,900.51","1,982,956,130.47","2,070,108,181.56","2,174,292,988.07","2,404,604,134.59","2,361,740,635.19","2,327,130,650.54","2,356,814,090.60","3,552,905,912.11"
