科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"270,694,787.52","419,016,648.73","383,328,467.38",,"226,097,917.58",,"327,370,846.55","26,546,302.72","142,110,264.47","191,570,536.49","363,383,805.49","66,382,655.61","346,789,031.43","637,274,074.62"
取得子公司及其他营业单位支付的现金净额,"1,500,000.00",,,,,,,,,"37,666,459.77","724,154,154.20",,,
收到的税费返还,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"40,000,000.00",,"10,000,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"1,929,975.25","2,644,790.37","24,674,521.19",,"1,759,178.98",,"3,721,504.19","1,879,360.10","3,450,642.16","3,856,444.82","18,383,672.21","32,210,993.51","41,379,747.94","46,290,787.74"
投资活动现金流出小计,"7,424,921.32","2,615,055.04","42,171,723.60",,"10,975,982.89",,"3,816,359.97","6,736,765.87","11,189,084.56","51,033,712.66","742,072,788.10","6,162,693.37","23,002,962.45","89,759,945.22"
经营活动现金流入小计,"272,624,762.77","421,661,439.10","408,002,988.57",,"227,857,096.56",,"331,092,350.74","28,425,662.82","145,560,906.63","195,426,981.31","381,767,477.70","98,593,649.12","388,168,779.37","683,564,862.36"
投资活动产生的现金流量净额,"-7,424,921.32","-2,598,055.04","-41,958,022.00","-376,700.00","-10,968,108.23","-11,355,800.00","16,196,354.69","-6,736,765.87","-10,619,236.31","-50,335,637.41","-720,187,806.91","-5,364,417.95","-22,064,560.93","-88,466,130.90"
购买商品、接受劳务支付的现金,"170,425,081.57","269,913,209.15","292,650,319.04",,"155,085,969.10",,"338,875,240.04","87,400,375.12","218,077,610.36","252,742,277.98","309,358,706.62","113,236,067.60","382,805,407.58","629,112,330.63"
吸收投资收到的现金,,,,,,,"500,745,650.00",,"102,788,000.00","102,788,000.00","796,250,257.90",,,
支付给职工以及为职工支付的现金,"40,357,723.43","62,755,751.40","71,650,875.50",,"36,228,073.17",,"80,414,278.31","23,355,847.49","56,234,800.75","78,637,200.13","115,426,683.52","64,086,241.47","105,918,119.05","139,993,398.09"
取得借款收到的现金,"188,000,000.00","270,000,000.00","365,000,000.00",,"195,000,000.00",,"428,000,000.00","128,000,000.00","226,000,000.00","416,000,000.00","938,000,000.00","192,040,073.77","484,040,073.77","870,040,073.77"
支付的各项税费,"21,774,823.55","31,036,219.79","31,558,281.35",,"12,022,284.81",,"29,476,759.72","9,234,002.58","20,859,518.23","31,695,994.59","56,965,490.80","45,316,810.34","40,348,966.91","85,640,737.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,,"20,000,000.00","22,000,000.00","22,000,000.00"
支付其他与经营活动有关的现金,"9,877,112.48","29,359,535.47","11,388,931.78",,"7,475,066.56",,"25,527,882.19","26,584,270.66","41,750,948.96","85,631,952.86","84,421,362.19","46,679,631.29","77,382,803.24","129,775,764.89"
筹资活动现金流入小计,"188,000,000.00","270,000,000.00","365,000,000.00",,"195,000,000.00",,"928,745,650.00","128,000,000.00","328,788,000.00","518,788,000.00","1,734,250,257.90","212,040,073.77","506,040,073.77","892,040,073.77"
经营活动现金流出小计,"242,434,741.03","393,064,715.81","407,248,407.67",,"210,811,393.64",,"474,294,160.26","146,574,495.85","336,922,878.30","448,707,425.56","566,172,243.13","269,318,750.70","606,455,296.78","984,522,230.61"
