科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"329,311,543.27","396,750,292.09","468,289,282.93","266,049,724.47","398,968,472.70","466,419,230.09","122,600,150.70","268,858,698.98","444,202,174.02","613,615,969.65","175,262,664.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"6,154,161.51","15,973,599.14","18,310,629.35","12,173,328.27","13,919,372.11","24,189,598.39","16,131,606.55","27,594,023.94","32,811,621.71","37,949,831.95","8,463,089.87"
支付其他与投资活动有关的现金,,"1,040,951.10","1,332,813.28",,,"3,732,756.00",,,"9,895.16","1,020,000.00",
收到其他与经营活动有关的现金,"7,305,391.95","19,585,339.42","23,185,026.28","12,272,332.92","16,753,310.22","25,645,051.30","14,769,120.15","55,930,696.37","78,427,057.82","79,456,711.10","19,497,875.79"
投资活动现金流出小计,"98,833,001.76","161,578,733.48","208,420,319.50","167,507,574.76","251,902,109.90","301,368,606.21","46,146,157.69","60,854,254.25","70,201,536.51","89,521,845.13","18,969,478.81"
经营活动现金流入小计,"342,771,096.73","432,309,230.65","509,784,938.56","290,495,385.66","429,641,155.03","516,253,879.78","153,500,877.40","352,383,419.29","555,440,853.55","731,022,512.70","203,223,630.59"
投资活动产生的现金流量净额,"-46,238,497.36","-161,315,312.87","-206,261,291.00","-166,445,266.46","-250,857,912.17","-300,313,644.28","-46,058,157.69","-60,473,127.23","-70,109,914.01","-84,483,209.48","-18,964,441.57"
购买商品、接受劳务支付的现金,"140,302,876.05","192,594,622.42","236,142,307.89","150,641,573.83","252,760,933.78","281,129,298.13","115,764,171.89","211,464,694.67","308,266,061.73","371,554,270.11","74,335,176.45"
吸收投资收到的现金,,,,,,"467,500,000.00",,,"62,039,168.24","62,036,415.91",
支付给职工以及为职工支付的现金,"83,749,150.61","98,357,700.05","112,178,941.04","70,135,640.24","103,052,363.02","142,194,900.16","38,808,178.63","85,214,453.18","127,363,056.35","181,361,452.43","42,421,439.10"
取得借款收到的现金,"184,867.20","188,299,710.03","139,610,087.59","194,350,615.23","306,950,615.23","424,654,094.13","108,000,000.00","185,601,020.00","223,929,030.00","294,232,720.00","174,500,000.00"
支付的各项税费,"22,513,830.24","12,882,289.20","26,687,424.11","11,957,397.89","14,425,822.51","21,830,360.64","12,848,443.49","20,418,936.66","30,021,250.59","35,884,478.10","9,312,707.28"
收到其他与筹资活动有关的现金,,,,,,,,,,,
